Datum,Region,Beleg,Umsatz
2024-04-27,Genève,BEL-000118,660.36
2024-04-28,Bern,BEL-000119,525.47
2024-04-29,Basel,BEL-000120,875.16
2024-04-30,Zürich,BEL-000121,99.56
2024-05-01,Genève,BEL-000122,758.16
2024-05-02,Bern,BEL-000123,321.08
2024-05-03,Basel,BEL-000124,679.15
2024-05-04,Zürich,BEL-000125,214.21
2024-05-05,Genève,BEL-000126,847.97
2024-05-06,Bern,BEL-000127,352.95
2024-05-07,Basel,BEL-000128,274.82
2024-05-08,Zürich,BEL-000129,657.15
2024-05-09,Genève,BEL-000130,136.57
2024-05-10,Bern,BEL-000131,123.37
2024-05-11,Basel,BEL-000132,819.78
2024-05-12,Zürich,BEL-000133,502.91
2024-05-13,Genève,BEL-000134,860.66
2024-05-14,Bern,BEL-000135,605.17
2024-05-15,Basel,BEL-000136,921.49
2024-05-16,Zürich,BEL-000137,729.56
2024-05-17,Genève,BEL-000138,227.49
2024-05-18,Bern,BEL-000139,742.58
2024-05-19,Basel,BEL-000140,397.50
2024-05-20,Zürich,BEL-000141,489.58
2024-05-21,Genève,BEL-000142,846.83
2024-05-22,Bern,BEL-000143,937.47
2024-05-23,Basel,BEL-000144,755.28
2024-05-24,Zürich,BEL-000145,770.00
2024-05-25,Genève,BEL-000146,345.65
2024-05-26,Bern,BEL-000147,822.75
2024-05-27,Basel,BEL-000148,148.57
2024-05-28,Zürich,BEL-000149,366.63
2024-05-29,Genève,BEL-000150,427.33
2024-05-30,Bern,BEL-000151,178.63
2024-05-31,Basel,BEL-000152,860.05
2024-06-01,Zürich,BEL-000153,524.66
2024-06-02,Genève,BEL-000154,329.03
2024-06-03,Bern,BEL-000155,730.64
2024-06-04,Basel,BEL-000156,133.61
2024-06-05,Zürich,BEL-000157,731.80
2024-06-06,Genève,BEL-000158,593.90
2024-06-07,Bern,BEL-000159,747.01
2024-06-08,Basel,BEL-000160,856.65
2024-06-09,Zürich,BEL-000161,474.24
2024-06-10,Genève,BEL-000162,530.95
2024-06-11,Bern,BEL-000163,56.12
2024-06-12,Basel,BEL-000164,751.21
2024-06-13,Zürich,BEL-000165,723.50
2024-06-14,Genève,BEL-000166,59.43
2024-06-15,Bern,BEL-000167,62.04
2024-06-16,Basel,BEL-000168,793.97
2024-06-17,Zürich,BEL-000169,529.19
2024-06-18,Genève,BEL-000170,897.73
2024-06-19,Bern,BEL-000171,749.39
2024-06-20,Basel,BEL-000172,703.85
2024-06-21,Zürich,BEL-000173,448.48
2024-06-22,Genève,BEL-000174,238.56
2024-06-23,Bern,BEL-000175,643.74
2024-06-24,Basel,BEL-000176,686.83
2024-06-25,Zürich,BEL-000177,249.42
2024-06-26,Genève,BEL-000178,398.78
2024-06-27,Bern,BEL-000179,589.51
2024-06-28,Basel,BEL-000180,301.94
2024-06-29,Zürich,BEL-000181,412.41
2024-06-30,Genève,BEL-000182,538.14
2024-07-01,Bern,BEL-000183,924.39
2024-07-02,Basel,BEL-000184,164.21
2024-07-03,Zürich,BEL-000185,487.30
2024-07-04,Genève,BEL-000186,191.42
2024-07-05,Bern,BEL-000187,533.50
2024-07-06,Basel,BEL-000188,184.61
2024-07-07,Zürich,BEL-000189,403.10
2024-07-08,Genève,BEL-000190,481.51
2024-07-09,Bern,BEL-000191,242.30
2024-07-10,Basel,BEL-000192,933.36
2024-07-11,Zürich,BEL-000193,556.53
2024-07-12,Genève,BEL-000194,471.27
2024-07-13,Bern,BEL-000195,913.88
2024-07-14,Basel,BEL-000196,76.27
2024-07-15,Zürich,BEL-000197,557.04
2024-07-16,Genève,BEL-000198,464.57
2024-07-17,Bern,BEL-000199,851.90
2024-07-18,Basel,BEL-000200,360.97
2024-07-19,Zürich,BEL-000201,486.73
2024-07-20,Genève,BEL-000202,705.77
2024-07-21,Bern,BEL-000203,85.91
2024-07-22,Basel,BEL-000204,652.80
2024-07-23,Zürich,BEL-000205,359.25
2024-07-24,Genève,BEL-000206,497.46
2024-07-25,Bern,BEL-000207,666.58
2024-07-26,Basel,BEL-000208,805.96
2024-07-27,Zürich,BEL-000209,463.73
2024-07-28,Genève,BEL-000210,733.84
2024-07-29,Bern,BEL-000211,640.45
2024-07-30,Basel,BEL-000212,535.46
2024-07-31,Zürich,BEL-000213,720.98
2024-08-01,Genève,BEL-000214,318.95
2024-08-02,Bern,BEL-000215,829.50
2024-08-03,Basel,BEL-000216,710.41
2024-08-04,Zürich,BEL-000217,455.03
2024-08-05,Genève,BEL-000218,140.47
2024-08-06,Bern,BEL-000219,88.37
2024-08-07,Basel,BEL-000220,727.33
2024-08-08,Zürich,BEL-000221,134.02
2024-08-09,Genève,BEL-000222,189.32
2024-08-10,Bern,BEL-000223,428.87
2024-08-11,Basel,BEL-000224,492.51
2024-08-12,Zürich,BEL-000225,891.95
2024-08-13,Genève,BEL-000226,745.13
2024-08-14,Bern,BEL-000227,384.36
2024-08-15,Basel,BEL-000228,477.01
2024-08-16,Zürich,BEL-000229,684.51
2024-08-17,Genève,BEL-000230,440.93
2024-08-18,Bern,BEL-000231,659.40
2024-08-19,Basel,BEL-000232,332.17
2024-08-20,Zürich,BEL-000233,821.74
2024-08-21,Genève,BEL-000234,279.23
2024-08-22,Bern,BEL-000235,588.16
2024-08-23,Basel,BEL-000236,63.78
2024-08-24,Zürich,BEL-000237,807.06
2024-08-25,Genève,BEL-000238,792.46
2024-08-26,Bern,BEL-000239,194.10
2024-08-27,Basel,BEL-000240,56.19
2024-08-28,Zürich,BEL-000241,116.51
2024-08-29,Genève,BEL-000242,821.08
2024-08-30,Bern,BEL-000243,498.83
2024-08-31,Basel,BEL-000244,629.42
2024-09-01,Zürich,BEL-000245,489.05
2024-09-02,Genève,BEL-000246,65.48
2024-09-03,Bern,BEL-000247,891.15
2024-09-04,Basel,BEL-000248,648.36
2024-09-05,Zürich,BEL-000249,384.45
2024-09-06,Genève,BEL-000250,60.44
2024-09-07,Bern,BEL-000251,386.57
2024-09-08,Basel,BEL-000252,673.12
2024-09-09,Zürich,BEL-000253,293.26
2024-09-10,Genève,BEL-000254,328.72
2024-09-11,Bern,BEL-000255,556.15
2024-09-12,Basel,BEL-000256,706.00
2024-09-13,Zürich,BEL-000257,721.60
2024-09-14,Genève,BEL-000258,291.35
2024-09-15,Bern,BEL-000259,807.84
2024-09-16,Basel,BEL-000260,233.99
2024-09-17,Zürich,BEL-000261,213.96
2024-09-18,Genève,BEL-000262,241.01
2024-09-19,Bern,BEL-000263,542.86
2024-09-20,Basel,BEL-000264,693.44
2024-09-21,Zürich,BEL-000265,931.87
2024-09-22,Genève,BEL-000266,216.96
2024-09-23,Bern,BEL-000267,399.24
2024-09-24,Basel,BEL-000268,394.72
2024-09-25,Zürich,BEL-000269,504.55
2024-09-26,Genève,BEL-000270,201.71
2024-09-27,Bern,BEL-000271,790.74
2024-09-28,Basel,BEL-000272,786.15
2024-09-29,Zürich,BEL-000273,891.46
2024-09-30,Genève,BEL-000274,910.18
2024-10-01,Bern,BEL-000275,519.02
2024-10-02,Basel,BEL-000276,708.01
2024-10-03,Zürich,BEL-000277,646.82
2024-10-04,Genève,BEL-000278,239.03
2024-10-05,Bern,BEL-000279,594.77
2024-10-06,Basel,BEL-000280,92.09
2024-10-07,Zürich,BEL-000281,184.17
2024-10-08,Genève,BEL-000282,200.37
2024-10-09,Bern,BEL-000283,300.02
2024-10-10,Basel,BEL-000284,535.97
2024-10-11,Zürich,BEL-000285,222.64
2024-10-12,Genève,BEL-000286,773.49
2024-10-13,Bern,BEL-000287,200.20
2024-10-14,Basel,BEL-000288,794.02
2024-10-15,Zürich,BEL-000289,456.50
2024-10-16,Genève,BEL-000290,790.79
2024-10-17,Bern,BEL-000291,634.70
2024-10-18,Basel,BEL-000292,87.34
2024-10-19,Zürich,BEL-000293,195.00
2024-10-20,Genève,BEL-000294,193.59
2024-10-21,Bern,BEL-000295,559.16
2024-10-22,Basel,BEL-000296,304.56
2024-10-23,Zürich,BEL-000297,365.94
2024-10-24,Genève,BEL-000298,87.21
2024-10-25,Bern,BEL-000299,104.01
2024-10-26,Basel,BEL-000300,623.78
2024-10-27,Zürich,BEL-000301,90.29
2024-10-28,Genève,BEL-000302,140.95
2024-10-29,Bern,BEL-000303,308.00
2024-10-30,Basel,BEL-000304,163.18
2024-10-31,Zürich,BEL-000305,613.37
2024-11-01,Genève,BEL-000306,53.30
2024-11-02,Bern,BEL-000307,827.58
2024-11-03,Basel,BEL-000308,427.32
2024-11-04,Zürich,BEL-000309,722.00
2024-11-05,Genève,BEL-000310,582.95
2024-11-06,Bern,BEL-000311,835.35
2024-11-07,Basel,BEL-000312,97.14
2024-11-08,Zürich,BEL-000313,162.24
2024-11-09,Genève,BEL-000314,528.47
2024-11-10,Bern,BEL-000315,208.22
2024-11-11,Basel,BEL-000316,635.01
2024-11-12,Zürich,BEL-000317,283.61
2024-11-13,Genève,BEL-000318,60.13
2024-11-14,Bern,BEL-000319,143.58
2024-11-15,Basel,BEL-000320,400.24
2024-11-16,Zürich,BEL-000321,721.27
2024-11-17,Genève,BEL-000322,787.21
2024-11-18,Bern,BEL-000323,111.44
2024-11-19,Basel,BEL-000324,253.73
2024-11-20,Zürich,BEL-000325,830.06
2024-11-21,Genève,BEL-000326,261.49
2024-11-22,Bern,BEL-000327,580.20
2024-11-23,Basel,BEL-000328,791.79
2024-11-24,Zürich,BEL-000329,764.35
2024-11-25,Genève,BEL-000330,788.08
2024-11-26,Bern,BEL-000331,799.87
2024-11-27,Basel,BEL-000332,548.15
2024-11-28,Zürich,BEL-000333,681.00
2024-11-29,Genève,BEL-000334,413.93
2024-11-30,Bern,BEL-000335,630.59
2024-12-01,Basel,BEL-000336,925.58
2024-12-02,Zürich,BEL-000337,344.13
2024-12-03,Genève,BEL-000338,592.32
2024-12-04,Bern,BEL-000339,111.06
2024-12-05,Basel,BEL-000340,235.20
2024-12-06,Zürich,BEL-000341,261.77
2024-12-07,Genève,BEL-000342,930.51
2024-12-08,Bern,BEL-000343,68.30
2024-12-09,Basel,BEL-000344,887.63
2024-12-10,Zürich,BEL-000345,846.59
2024-12-11,Genève,BEL-000346,774.14
2024-12-12,Bern,BEL-000347,306.17
2024-12-13,Basel,BEL-000348,660.45
2024-12-14,Zürich,BEL-000349,916.10
2024-12-15,Genève,BEL-000350,852.95
2024-12-16,Bern,BEL-000351,170.55
2024-12-17,Basel,BEL-000352,817.12
2024-12-18,Zürich,BEL-000353,227.86
2024-12-19,Genève,BEL-000354,168.50
2024-12-20,Bern,BEL-000355,767.26
2024-12-21,Basel,BEL-000356,269.31
2024-12-22,Zürich,BEL-000357,286.53
2024-12-23,Genève,BEL-000358,473.40
2024-12-24,Bern,BEL-000359,649.20
2024-12-25,Basel,BEL-000360,642.35
2024-12-26,Zürich,BEL-000361,279.52
2024-12-27,Genève,BEL-000362,787.33
2024-12-28,Bern,BEL-000363,59.52
2024-12-29,Basel,BEL-000364,372.92
2024-12-30,Zürich,BEL-000365,886.82
2024-12-31,Genève,BEL-000366,258.53
2025-01-01,Bern,BEL-000367,822.20
2025-01-02,Basel,BEL-000368,481.46
2025-01-03,Zürich,BEL-000369,441.61
2025-01-04,Genève,BEL-000370,520.95
2025-01-05,Bern,BEL-000371,147.83
2025-01-06,Basel,BEL-000372,878.76
2025-01-07,Zürich,BEL-000373,93.67
2025-01-08,Genève,BEL-000374,559.89
2025-01-09,Bern,BEL-000375,78.26
2025-01-10,Basel,BEL-000376,586.51
2025-01-11,Zürich,BEL-000377,321.97
2025-01-12,Genève,BEL-000378,670.48
2025-01-13,Bern,BEL-000379,762.48
2025-01-14,Basel,BEL-000380,126.64
2025-01-15,Zürich,BEL-000381,776.27
2025-01-16,Genève,BEL-000382,834.19
2025-01-17,Bern,BEL-000383,123.29
2025-01-18,Basel,BEL-000384,878.24
2025-01-19,Zürich,BEL-000385,261.94
2025-01-20,Genève,BEL-000386,847.19
2025-01-21,Bern,BEL-000387,852.46
2025-01-22,Basel,BEL-000388,888.44
2025-01-23,Zürich,BEL-000389,870.47
2025-01-24,Genève,BEL-000390,328.55
2025-01-25,Bern,BEL-000391,810.32
2025-01-26,Basel,BEL-000392,258.81
2025-01-27,Zürich,BEL-000393,565.37
2025-01-28,Genève,BEL-000394,269.33
2025-01-29,Bern,BEL-000395,671.33
2025-01-30,Basel,BEL-000396,815.11
2025-01-31,Zürich,BEL-000397,284.56
2025-02-01,Genève,BEL-000398,192.79
2025-02-02,Bern,BEL-000399,644.50
2025-02-03,Basel,BEL-000400,517.39
2025-02-04,Zürich,BEL-000401,114.07
2025-02-05,Genève,BEL-000402,115.24
2025-02-06,Bern,BEL-000403,368.53
2025-02-07,Basel,BEL-000404,519.55
2025-02-08,Zürich,BEL-000405,704.21
2025-02-09,Genève,BEL-000406,797.53
2025-02-10,Bern,BEL-000407,115.82
2025-02-11,Basel,BEL-000408,316.98
2025-02-12,Zürich,BEL-000409,68.11
2025-02-13,Genève,BEL-000410,764.88
2025-02-14,Bern,BEL-000411,75.25
2025-02-15,Basel,BEL-000412,424.38
2025-02-16,Zürich,BEL-000413,217.84
2025-02-17,Genève,BEL-000414,406.01
2025-02-18,Bern,BEL-000415,786.62
2025-02-19,Basel,BEL-000416,688.66
2025-02-20,Zürich,BEL-000417,814.77
2025-02-21,Genève,BEL-000418,81.30
2025-02-22,Bern,BEL-000419,85.70
2025-02-23,Basel,BEL-000420,476.07
2025-02-24,Zürich,BEL-000421,902.46
2025-02-25,Genève,BEL-000422,182.80
2025-02-26,Bern,BEL-000423,743.31
2025-02-27,Basel,BEL-000424,797.87
2025-02-28,Zürich,BEL-000425,519.20
2025-03-01,Genève,BEL-000426,629.51
2025-03-02,Bern,BEL-000427,699.05
2025-03-03,Basel,BEL-000428,173.80
2025-03-04,Zürich,BEL-000429,678.59
2025-03-05,Genève,BEL-000430,225.96
2025-03-06,Bern,BEL-000431,783.28
2025-03-07,Basel,BEL-000432,164.62
2025-03-08,Zürich,BEL-000433,130.99
2025-03-09,Genève,BEL-000434,220.32
2025-03-10,Bern,BEL-000435,452.18
2025-03-11,Basel,BEL-000436,330.79
2025-03-12,Zürich,BEL-000437,867.93
2025-03-13,Genève,BEL-000438,395.50
2025-03-14,Bern,BEL-000439,383.39
2025-03-15,Basel,BEL-000440,710.71
2025-03-16,Zürich,BEL-000441,520.95
2025-03-17,Genève,BEL-000442,91.37
2025-03-18,Bern,BEL-000443,606.61
2025-03-19,Basel,BEL-000444,300.25
2025-03-20,Zürich,BEL-000445,849.73
2025-03-21,Genève,BEL-000446,358.84
2025-03-22,Bern,BEL-000447,107.93
2025-03-23,Basel,BEL-000448,763.43
2025-03-24,Zürich,BEL-000449,938.85
2025-03-25,Genève,BEL-000450,673.77
2025-03-26,Bern,BEL-000451,893.10
2025-03-27,Basel,BEL-000452,309.31
2025-03-28,Zürich,BEL-000453,834.46
2025-03-29,Genève,BEL-000454,85.50
2025-03-30,Bern,BEL-000455,850.37
2025-03-31,Basel,BEL-000456,124.06
2025-04-01,Zürich,BEL-000457,462.08
2025-04-02,Genève,BEL-000458,80.61
2025-04-03,Bern,BEL-000459,854.24
2025-04-04,Basel,BEL-000460,182.41
2025-04-05,Zürich,BEL-000461,921.88
2025-04-06,Genève,BEL-000462,721.85
2025-04-07,Bern,BEL-000463,706.37
2025-04-08,Basel,BEL-000464,767.36
2025-04-09,Zürich,BEL-000465,82.07
2025-04-10,Genève,BEL-000466,182.62
2025-04-11,Bern,BEL-000467,829.58
2025-04-12,Basel,BEL-000468,357.29
2025-04-13,Zürich,BEL-000469,501.93
2025-04-14,Genève,BEL-000470,872.53
2025-04-15,Bern,BEL-000471,107.06
2025-04-16,Basel,BEL-000472,400.20
2025-04-17,Zürich,BEL-000473,437.94
2025-04-18,Genève,BEL-000474,839.45
2025-04-19,Bern,BEL-000475,256.54
2025-04-20,Basel,BEL-000476,741.30
2025-04-21,Zürich,BEL-000477,237.86
2025-04-22,Genève,BEL-000478,138.18
2025-04-23,Bern,BEL-000479,912.57
2025-04-24,Basel,BEL-000480,796.14
2025-04-25,Zürich,BEL-000481,880.23
2025-04-26,Genève,BEL-000482,193.50
2025-04-27,Bern,BEL-000483,338.50
2025-04-28,Basel,BEL-000484,216.56
2025-04-29,Zürich,BEL-000485,379.60
2025-04-30,Genève,BEL-000486,627.35
2025-05-01,Bern,BEL-000487,324.08
2025-05-02,Basel,BEL-000488,68.58
2025-05-03,Zürich,BEL-000489,522.15
2025-05-04,Genève,BEL-000490,473.24
2025-05-05,Bern,BEL-000491,921.95
2025-05-06,Basel,BEL-000492,838.02
2025-05-07,Zürich,BEL-000493,710.07
2025-05-08,Genève,BEL-000494,383.74
2025-05-09,Bern,BEL-000495,321.49
2025-05-10,Basel,BEL-000496,706.22
2025-05-11,Zürich,BEL-000497,408.98
2025-05-12,Genève,BEL-000498,12'345.60
2025-05-13,Bern,BEL-000499,9'876.05
2025-05-14,Basel,BEL-000500,1'002.35
2025-05-15,Total,,270'057.98
