id,kunde,betrag
00080,Zürich 00080       , 70051.81
00081,Zürich 00081       , 87327.88
00082,Zürich 00082       , 42491.79
00083,Zürich 00083       , 57448.12
00084,Zürich 00084       ,  3147.51
00085,Zürich 00085       , 26558.52
00086,Zürich 00086       , 82964.48
00087,Zürich 00087       , 46572.47
00088,Zürich 00088       , 36282.08
00089,Zürich 00089       , 85216.91
00090,Zürich 00090       , 54033.13
00091,Zürich 00091       , 85328.81
00092,Zürich 00092       , 12537.72
00093,Zürich 00093       , 81464.49
00094,Zürich 00094       , 60884.84
00095,Zürich 00095       , 79025.77
00096,Zürich 00096       , 46327.50
00097,Zürich 00097       ,  5607.29
00098,Zürich 00098       , 93171.52
00099,Zürich 00099       , 61852.63
00100,Zürich 00100       , 76343.43
00101,Zürich 00101       , 66492.87
00102,Zürich 00102       , 13550.28
00103,Zürich 00103       , 26519.79
00104,Zürich 00104       , 33544.58
00105,Zürich 00105       , 67711.85
00106,Zürich 00106       , 98833.58
00107,Zürich 00107       , 92105.59
00108,Zürich 00108       , 76011.54
00109,Zürich 00109       , 83769.31
00110,Zürich 00110       , 54936.83
00111,Zürich 00111       , 58960.84
00112,Zürich 00112       ,  7530.27
00113,Zürich 00113       , 24165.14
00114,Zürich 00114       ,  9822.89
00115,Zürich 00115       , 36220.62
00116,Zürich 00116       , 21296.75
00117,Zürich 00117       ,  6388.87
00118,Zürich 00118       , 74054.96
00119,Zürich 00119       , 53182.49
00120,Zürich 00120       , 61546.96
00121,Zürich 00121       , 86261.17
00122,Zürich 00122       , 32374.28
00123,Zürich 00123       , 76423.97
00124,Zürich 00124       ,   476.99
00125,Zürich 00125       , 51389.29
00126,Zürich 00126       ,   928.75
00127,Zürich 00127       , 36566.21
00128,Zürich 00128       , 53364.08
00129,Zürich 00129       , 49890.18
00130,Zürich 00130       , 71525.00
00131,Zürich 00131       , 14394.89
00132,Zürich 00132       , 77112.14
00133,Zürich 00133       , 91654.66
00134,Zürich 00134       , 68088.72
00135,Zürich 00135       , 48591.83
00136,Zürich 00136       , 15223.31
00137,Zürich 00137       , 95228.41
00138,Zürich 00138       , 19230.30
00139,Zürich 00139       , 97664.65
00140,Zürich 00140       , 27657.62
00141,Zürich 00141       , 66714.32
00142,Zürich 00142       , 98839.91
00143,Zürich 00143       , 33370.32
00144,Zürich 00144       , 10798.62
00145,Zürich 00145       , 99454.45
00146,Zürich 00146       , 94750.85
00147,Zürich 00147       , 32928.42
00148,Zürich 00148       , 14680.48
00149,Zürich 00149       , 74859.73
00150,Zürich 00150       , 38651.93
00151,Zürich 00151       , 65912.48
00152,Zürich 00152       , 99088.76
00153,Zürich 00153       , 79798.62
00154,Zürich 00154       , 31636.73
00155,Zürich 00155       , 69838.53
00156,Zürich 00156       , 72236.52
00157,Zürich 00157       , 33327.01
00158,Zürich 00158       ,  2749.82
00159,Zürich 00159       , 76155.08
00160,Zürich 00160       , 34145.19
00161,Zürich 00161       , 57679.85
00162,Zürich 00162       , 52177.88
00163,Zürich 00163       , 37044.32
00164,Zürich 00164       , 20527.72
00165,Zürich 00165       , 50390.43
00166,Zürich 00166       ,  6912.25
00167,Zürich 00167       , 93355.68
00168,Zürich 00168       ,  6419.73
00169,Zürich 00169       , 68440.88
00170,Zürich 00170       , 33767.66
00171,Zürich 00171       , 53039.09
00172,Zürich 00172       , 99180.79
00173,Zürich 00173       , 48414.43
00174,Zürich 00174       , 82157.43
00175,Zürich 00175       , 21536.45
00176,Zürich 00176       , 17497.83
00177,Zürich 00177       ,  1061.62
00178,Zürich 00178       , 57763.54
00179,Zürich 00179       , 11003.00
00180,Zürich 00180       ,  5084.19
00181,Zürich 00181       , 34249.93
00182,Zürich 00182       , 44212.15
00183,Zürich 00183       , 81564.00
00184,Zürich 00184       ,  1191.51
00185,Zürich 00185       , 95815.76
00186,Zürich 00186       , 45657.27
00187,Zürich 00187       , 93482.27
00188,Zürich 00188       , 25685.99
00189,Zürich 00189       , 91282.29
00190,Zürich 00190       , 47545.75
00191,Zürich 00191       , 93202.14
00192,Zürich 00192       , 21272.57
00193,Zürich 00193       , 50054.01
00194,Zürich 00194       , 18422.14
00195,Zürich 00195       , 57823.50
00196,Zürich 00196       , 12518.37
00197,Zürich 00197       , 95067.16
00198,Zürich 00198       , 37608.48
00199,Zürich 00199       , 67285.05
00200,Zürich 00200       , 26652.29
00201,Zürich 00201       , 34686.30
00202,Zürich 00202       , 56518.64
00203,Zürich 00203       , 64202.31
00204,Zürich 00204       , 65630.26
00205,Zürich 00205       , 35790.09
00206,Zürich 00206       , 50207.48
00207,Zürich 00207       , 14430.48
00208,Zürich 00208       ,  3221.03
00209,Zürich 00209       , 97769.88
00210,Zürich 00210       , 11481.90
00211,Zürich 00211       , 37083.39
00212,Zürich 00212       , 55202.98
00213,Zürich 00213       , 82557.36
00214,Zürich 00214       , 77273.09
00215,Zürich 00215       , 56768.83
00216,Zürich 00216       , 56522.31
00217,Zürich 00217       , 97039.90
00218,Zürich 00218       ,  2858.93
00219,Zürich 00219       , 92731.91
00220,Zürich 00220       , 92637.40
00221,Zürich 00221       , 98504.97
00222,Zürich 00222       , 80379.63
00223,Zürich 00223       ,  2848.93
00224,Zürich 00224       ,  4130.39
00225,Zürich 00225       , 99478.63
00226,Zürich 00226       , 68500.35
00227,Zürich 00227       , 70154.70
00228,Zürich 00228       , 93725.58
00229,Zürich 00229       ,  6948.91
00230,Zürich 00230       , 80078.78
00231,Zürich 00231       , 42987.47
00232,Zürich 00232       ,   262.25
00233,Zürich 00233       , 28795.04
00234,Zürich 00234       , 40666.87
00235,Zürich 00235       , 72679.30
00236,Zürich 00236       , 90711.93
00237,Zürich 00237       , 36511.09
00238,Zürich 00238       , 44638.47
00239,Zürich 00239       , 72693.07
00240,Zürich 00240       ,  7149.54
00241,Zürich 00241       , 51219.44
00242,Zürich 00242       ,  4697.53
00243,Zürich 00243       , 59517.96
00244,Zürich 00244       , 82899.04
00245,Zürich 00245       , 56598.87
00246,Zürich 00246       , 56315.67
00247,Zürich 00247       , 38012.31
00248,Zürich 00248       , 89148.18
00249,Zürich 00249       , 27772.97
00250,Zürich 00250       , 85392.10
00251,Zürich 00251       , 66804.93
00252,Zürich 00252       , 86580.34
00253,Zürich 00253       , 98475.95
00254,Zürich 00254       , 98546.15
00255,Zürich 00255       , 16165.64
00256,Zürich 00256       ,  1406.67
00257,Zürich 00257       , 63910.21
00258,Zürich 00258       , 55252.04
00259,Zürich 00259       , 19552.81
00260,Zürich 00260       , 66082.33
00261,Zürich 00261       ,  9206.51
00262,Zürich 00262       , 13578.92
00263,Zürich 00263       ,  9049.99
00264,Zürich 00264       , 54727.65
00265,Zürich 00265       , 18054.56
00266,Zürich 00266       , 80973.79
00267,Zürich 00267       , 96609.96
00268,Zürich 00268       , 17519.51
00269,Zürich 00269       , 79413.68
00270,Zürich 00270       , 24645.05
00271,Zürich 00271       , 77841.77
00272,Zürich 00272       , 15918.17
00273,Zürich 00273       , 58918.77
00274,Zürich 00274       , 32925.21
00275,Zürich 00275       , 35937.36
00276,Zürich 00276       , 63233.52
00277,Zürich 00277       , 38908.20
00278,Zürich 00278       , 40938.98
00279,Zürich 00279       , 72844.16
00280,Zürich 00280       , 54362.67
00281,Zürich 00281       ,  5857.30
00282,Zürich 00282       , 55414.67
00283,Zürich 00283       , 59833.39
00284,Zürich 00284       , 63194.13
00285,Zürich 00285       , 96561.22
00286,Zürich 00286       , 60824.80
00287,Zürich 00287       , 63972.21
00288,Zürich 00288       , 74781.97
00289,Zürich 00289       , 76364.16
00290,Zürich 00290       , 15939.86
00291,Zürich 00291       , 39326.22
00292,Zürich 00292       , 16742.04
00293,Zürich 00293       , 47409.45
00294,Zürich 00294       , 86638.97
00295,Zürich 00295       , 70827.35
00296,Zürich 00296       , 75984.18
00297,Zürich 00297       , 84111.81
00298,Zürich 00298       ,  4898.07
00299,Zürich 00299       , 24309.64
00300,Zürich 00300       , 49917.38
00301,Zürich 00301       ,  5031.19
00302,Zürich 00302       , 90215.60
00303,Zürich 00303       ,  1392.25
00304,Zürich 00304       ,  1936.81
00305,Zürich 00305       , 12814.53
00306,Zürich 00306       , 56204.07
00307,Zürich 00307       , 82319.92
00308,Zürich 00308       , 84685.29
00309,Zürich 00309       ,  2398.15
00310,Zürich 00310       ,  2733.80
00311,Zürich 00311       , 85362.15
00312,Zürich 00312       , 65041.48
00313,Zürich 00313       , 97266.22
00314,Zürich 00314       , 93586.08
00315,Zürich 00315       , 87803.02
00316,Zürich 00316       , 77193.94
00317,Zürich 00317       , 94277.10
00318,Zürich 00318       , 57062.88
00319,Zürich 00319       , 44218.87
00320,Zürich 00320       , 49524.19
00321,Zürich 00321       , 47963.53
00322,Zürich 00322       , 55949.54
00323,Zürich 00323       , 85755.01
00324,Zürich 00324       , 13003.30
00325,Zürich 00325       , 21430.70
00326,Zürich 00326       , 26367.28
00327,Zürich 00327       , 50413.18
00328,Zürich 00328       ,  3166.24
00329,Zürich 00329       , 42472.08
00330,Zürich 00330       , 19101.31
00331,Zürich 00331       , 61018.47
00332,Zürich 00332       , 72041.55
00333,Zürich 00333       , 54435.64
00334,Zürich 00334       , 95512.04
00335,Zürich 00335       , 47595.44
00336,Zürich 00336       , 80729.71
00337,Zürich 00337       , 59853.66
00338,Zürich 00338       , 78674.39
00339,Zürich 00339       , 93026.72
00340,Zürich 00340       ,  5660.32
00341,Zürich 00341       ,  2345.54
00342,Zürich 00342       , 98487.00
00343,Zürich 00343       , 81788.40
00344,Zürich 00344       , 10111.11
00345,Zürich 00345       , 75347.15
00346,Zürich 00346       , 51263.51
00347,Zürich 00347       , 50082.22
00348,Zürich 00348       , 54734.76
00349,Zürich 00349       , 10127.39
00350,Zürich 00350       , 23452.46
00351,Zürich 00351       , 98983.06
00352,Zürich 00352       , 96237.14
00353,Zürich 00353       ,  4363.21
00354,Zürich 00354       , 26726.21
00355,Zürich 00355       , 60234.58
00356,Zürich 00356       , 83550.18
00357,Zürich 00357       , 14341.31
00358,Zürich 00358       , 84189.03
00359,Zürich 00359       , 65812.59
00360,Zürich 00360       , 63345.35
00361,Zürich 00361       , 76679.42
00362,Zürich 00362       , 22019.18
00363,Zürich 00363       , 86887.49
00364,Zürich 00364       , 44054.35
00365,Zürich 00365       , 68184.37
00366,Zürich 00366       , 36029.20
00367,Zürich 00367       , 98468.51
00368,Zürich 00368       , 60125.48
00369,Zürich 00369       , 50364.93
00370,Zürich 00370       , 25470.41
00371,Zürich 00371       , 87404.92
00372,Zürich 00372       , 69700.16
00373,Zürich 00373       , 85773.93
00374,Zürich 00374       , 50071.22
00375,Zürich 00375       , 97889.26
00376,Zürich 00376       , 76586.00
00377,Zürich 00377       ,  2700.85
00378,Zürich 00378       , 95586.32
00379,Zürich 00379       , 80994.91
00380,Zürich 00380       , 75620.68
00381,Zürich 00381       , 73178.40
00382,Zürich 00382       , 58184.63
00383,Zürich 00383       , 68489.46
00384,Zürich 00384       , 71503.25
00385,Zürich 00385       , 55828.02
00386,Zürich 00386       , 28049.05
00387,Zürich 00387       , 16436.51
00388,Zürich 00388       , 91439.14
00389,Zürich 00389       , 89630.74
00390,Zürich 00390       , 36057.30
00391,Zürich 00391       , 97545.81
00392,Zürich 00392       , 49035.58
00393,Zürich 00393       , 51056.61
00394,Zürich 00394       , 72658.01
00395,Zürich 00395       , 18333.06
00396,Zürich 00396       , 78679.07
00397,Zürich 00397       , 28750.17
00398,Zürich 00398       , 66755.55
00399,Zürich 00399       ,  2638.27
00400,Zürich 00400       ,    10.79
00401,Zürich 00401       , 86221.90
00402,Zürich 00402       , 91774.68
00403,Zürich 00403       , 31209.10
00404,Zürich 00404       ,  8255.06
00405,Zürich 00405       , 17634.83
00406,Zürich 00406       , 40229.84
00407,Zürich 00407       , 96311.45
00408,Zürich 00408       , 57769.52
00409,Zürich 00409       , 24545.49
00410,Zürich 00410       , 17867.36
00411,Zürich 00411       , 66933.12
00412,Zürich 00412       ,  5718.42
00413,Zürich 00413       , 88025.52
00414,Zürich 00414       , 14849.65
00415,Zürich 00415       , 86772.51
00416,Zürich 00416       , 60693.30
00417,Zürich 00417       , 96216.01
00418,Zürich 00418       ,  3648.92
00419,Zürich 00419       , 27313.28
00420,Zürich 00420       , 58612.90
00421,Zürich 00421       , 40315.74
00422,Zürich 00422       ,  5741.09
00423,Zürich 00423       , 53243.54
00424,Zürich 00424       , 34067.54
00425,Zürich 00425       , 86043.15
00426,Zürich 00426       , 37564.69
00427,Zürich 00427       , 75959.90
00428,Zürich 00428       , 46953.36
00429,Zürich 00429       , 43158.65
00430,Zürich 00430       , 70445.55
00431,Zürich 00431       , 68063.53
00432,Zürich 00432       ,  9946.04
00433,Zürich 00433       , 27290.96
00434,Zürich 00434       , 46075.16
00435,Zürich 00435       , 99620.00
00436,Zürich 00436       , 18059.65
00437,Zürich 00437       , 29000.13
00438,Zürich 00438       , 99680.81
00439,Zürich 00439       , 49421.82
00440,Zürich 00440       , 59537.79
00441,Zürich 00441       , 33232.46
00442,Zürich 00442       , 98781.05
00443,Zürich 00443       , 38355.04
00444,Zürich 00444       , 58342.17
00445,Zürich 00445       , 96227.87
00446,Zürich 00446       ,  5984.62
00447,Zürich 00447       , 67125.76
00448,Zürich 00448       , 39101.16
00449,Zürich 00449       , 59202.02
00450,Zürich 00450       , 58839.24
00451,Zürich 00451       , 86794.38
00452,Zürich 00452       ,  1987.65
00453,Zürich 00453       , 80693.72
00454,Zürich 00454       , 22198.67
00455,Zürich 00455       , 21370.35
00456,Zürich 00456       , 96242.01
00457,Zürich 00457       , 90847.97
00458,Zürich 00458       , 26911.05
00459,Zürich 00459       , 75130.87
00460,Zürich 00460       , 23361.07
00461,Zürich 00461       , 63787.10
00462,Zürich 00462       ,  4244.28
00463,Zürich 00463       , 56885.18
00464,Zürich 00464       , 29100.36
00465,Zürich 00465       , 47266.84
00466,Zürich 00466       , 73425.53
00467,Zürich 00467       , 20850.83
00468,Zürich 00468       , 85241.66
00469,Zürich 00469       , 57315.66
00470,Zürich 00470       , 89126.12
00471,Zürich 00471       , 14138.00
00472,Zürich 00472       , 30450.90
00473,Zürich 00473       , 17792.14
00474,Zürich 00474       , 14993.33
00475,Zürich 00475       , 63240.33
00476,Zürich 00476       , 39271.88
00477,Zürich 00477       , 34008.59
00478,Zürich 00478       , 57408.20
00479,Zürich 00479       , 74176.90
00480,Zürich 00480       , 10374.70
00481,Zürich 00481       , 31926.12
00482,Zürich 00482       , 41683.90
00483,Zürich 00483       , 20970.24
00484,Zürich 00484       , 74043.00
00485,Zürich 00485       ,  9883.02
00486,Zürich 00486       ,  2512.62
00487,Zürich 00487       ,  9219.85
00488,Zürich 00488       , 82444.77
00489,Zürich 00489       , 18911.55
00490,Zürich 00490       , 62782.11
00491,Zürich 00491       , 85204.47
00492,Zürich 00492       , 91239.17
00493,Zürich 00493       , 33165.28
00494,Zürich 00494       , 12166.35
00495,Zürich 00495       , 83572.62
00496,Zürich 00496       , 43274.94
00497,Zürich 00497       , 32657.87
00498,Zürich 00498       ,  2134.85
00499,Zürich 00499       , 61609.94
00500,Zürich 00500       , 96259.54
00501,Zürich 00501       , 92331.17
00502,Zürich 00502       , 12776.06
00503,Zürich 00503       , 63355.82
00504,Zürich 00504       , 71909.30
00505,Zürich 00505       , 48708.09
00506,Zürich 00506       , 74502.89
00507,Zürich 00507       , 91324.89
00508,Zürich 00508       , 38965.71
00509,Zürich 00509       ,  6566.00
00510,Zürich 00510       , 39356.18
00511,Zürich 00511       , 36567.75
00512,Zürich 00512       , 99277.61
00513,Zürich 00513       , 36399.98
00514,Zürich 00514       , 53323.45
00515,Zürich 00515       , 99667.57
00516,Zürich 00516       , 22713.76
00517,Zürich 00517       , 63312.15
00518,Zürich 00518       , 56849.43
00519,Zürich 00519       , 43623.56
00520,Zürich 00520       , 49838.75
00521,Zürich 00521       , 51658.60
00522,Zürich 00522       , 20623.89
00523,Zürich 00523       , 93573.59
00524,Zürich 00524       , 66010.47
00525,Zürich 00525       , 74580.44
00526,Zürich 00526       , 15687.45
00527,Zürich 00527       , 45665.86
00528,Zürich 00528       ,   936.13
00529,Zürich 00529       , 97292.18
00530,Zürich 00530       ,  3127.09
00531,Zürich 00531       , 80031.53
00532,Zürich 00532       , 89105.71
00533,Zürich 00533       , 79422.33
00534,Zürich 00534       , 84331.62
00535,Zürich 00535       , 35249.56
00536,Zürich 00536       , 71548.50
00537,Zürich 00537       , 48934.90
00538,Zürich 00538       , 58036.89
00539,Zürich 00539       , 55415.06
00540,Zürich 00540       , 37523.32
00541,Zürich 00541       , 31840.59
00542,Zürich 00542       , 46382.39
00543,Zürich 00543       , 96986.04
00544,Zürich 00544       , 45569.56
00545,Zürich 00545       , 79759.06
00546,Zürich 00546       , 47342.98
00547,Zürich 00547       , 68282.73
00548,Zürich 00548       , 72625.41
00549,Zürich 00549       , 56838.89
00550,Zürich 00550       ,  1651.05
00551,Zürich 00551       , 22226.67
00552,Zürich 00552       , 80320.01
00553,Zürich 00553       ,  8573.36
00554,Zürich 00554       , 33231.76
00555,Zürich 00555       , 41332.40
00556,Zürich 00556       , 68939.96
00557,Zürich 00557       , 77462.73
00558,Zürich 00558       , 39134.19
00559,Zürich 00559       , 29723.85
00560,Zürich 00560       , 58764.25
00561,Zürich 00561       , 87103.15
00562,Zürich 00562       , 22013.22
00563,Zürich 00563       , 10339.27
00564,Zürich 00564       ,  4485.20
00565,Zürich 00565       , 92323.77
00566,Zürich 00566       , 50661.26
00567,Zürich 00567       , 14830.12
00568,Zürich 00568       , 99987.29
00569,Zürich 00569       , 97418.07
00570,Zürich 00570       , 94123.73
00571,Zürich 00571       , 31431.00
00572,Zürich 00572       ,   311.52
00573,Zürich 00573       , 91741.26
00574,Zürich 00574       , 10184.85
00575,Zürich 00575       , 44920.05
00576,Zürich 00576       , 50538.62
00577,Zürich 00577       , 97381.96
00578,Zürich 00578       , 49348.44
00579,Zürich 00579       , 85633.42
00580,Zürich 00580       , 71567.58
00581,Zürich 00581       ,  1726.23
00582,Zürich 00582       , 59952.78
00583,Zürich 00583       , 26289.16
00584,Zürich 00584       , 20496.07
00585,Zürich 00585       ,  6455.33
00586,Zürich 00586       , 30277.15
00587,Zürich 00587       ,  8246.86
00588,Zürich 00588       , 71663.95
00589,Zürich 00589       , 70928.26
00590,Zürich 00590       , 77240.83
00591,Zürich 00591       , 59721.59
00592,Zürich 00592       , 28087.84
00593,Zürich 00593       , 44837.69
00594,Zürich 00594       , 20016.68
00595,Zürich 00595       , 71060.88
00596,Zürich 00596       , 56297.24
00597,Zürich 00597       , 37177.45
00598,Zürich 00598       , 75123.60
00599,Zürich 00599       , 68369.34
00600,Zürich 00600       , 29337.21
00601,Zürich 00601       , 73387.38
00602,Zürich 00602       , 70462.15
00603,Zürich 00603       , 19261.78
00604,Zürich 00604       , 35135.33
00605,Zürich 00605       , 31142.87
00606,Zürich 00606       , 54727.47
00607,Zürich 00607       , 75277.36
00608,Zürich 00608       , 43150.71
00609,Zürich 00609       , 25473.63
00610,Zürich 00610       , 93587.71
00611,Zürich 00611       , 51518.00
00612,Zürich 00612       , 23554.98
00613,Zürich 00613       , 72219.49
00614,Zürich 00614       , 15809.85
00615,Zürich 00615       , 59346.39
00616,Zürich 00616       , 23241.24
00617,Zürich 00617       , 29755.24
00618,Zürich 00618       , 74818.78
00619,Zürich 00619       , 26026.69
00620,Zürich 00620       , 81589.18
00621,Zürich 00621       ,  1381.61
00622,Zürich 00622       , 79707.99
00623,Zürich 00623       , 99253.19
00624,Zürich 00624       , 28097.48
00625,Zürich 00625       , 26306.10
00626,Zürich 00626       , 16293.85
00627,Zürich 00627       , 98466.94
00628,Zürich 00628       , 24672.13
00629,Zürich 00629       , 30189.97
00630,Zürich 00630       , 90917.34
00631,Zürich 00631       , 88851.03
00632,Zürich 00632       , 35856.62
00633,Zürich 00633       , 60947.80
00634,Zürich 00634       , 74701.99
00635,Zürich 00635       , 30267.47
00636,Zürich 00636       ,  5450.82
00637,Zürich 00637       , 69530.71
00638,Zürich 00638       , 49017.32
00639,Zürich 00639       , 79615.13
00640,Zürich 00640       , 27255.25
00641,Zürich 00641       , 22345.60
00642,Zürich 00642       , 48004.32
00643,Zürich 00643       , 77196.47
00644,Zürich 00644       , 76383.54
00645,Zürich 00645       , 78620.83
00646,Zürich 00646       , 25212.63
00647,Zürich 00647       , 40090.45
00648,Zürich 00648       , 14023.61
00649,Zürich 00649       , 71963.08
00650,Zürich 00650       , 55061.61
00651,Zürich 00651       , 60456.37
00652,Zürich 00652       , 73814.99
00653,Zürich 00653       , 34231.44
00654,Zürich 00654       , 16328.57
00655,Zürich 00655       , 46248.90
00656,Zürich 00656       , 61325.52
00657,Zürich 00657       ,  6463.04
00658,Zürich 00658       , 47760.33
00659,Zürich 00659       , 19804.89
00660,Zürich 00660       , 66511.44
00661,Zürich 00661       , 49060.61
00662,Zürich 00662       , 73834.22
00663,Zürich 00663       , 45837.15
00664,Zürich 00664       , 60495.01
00665,Zürich 00665       , 28125.57
00666,Zürich 00666       , 96568.42
00667,Zürich 00667       , 92355.27
00668,Zürich 00668       ,  2356.31
00669,Zürich 00669       , 33333.23
00670,Zürich 00670       , 14914.88
00671,Zürich 00671       , 35148.10
00672,Zürich 00672       , 44706.28
00673,Zürich 00673       , 59016.49
00674,Zürich 00674       , 71179.75
00675,Zürich 00675       , 54154.10
00676,caf� Central        , 74571.66
00677,Zürich 00677       , 30523.64
00678,Zürich 00678       , 60915.68
00679,Zürich 00679       , 86308.20
00680,Zürich 00680       , 34522.33
00681,Zürich 00681       , 58802.57
00682,Zürich 00682       , 61692.81
00683,Zürich 00683       , 17904.04
00684,Zürich 00684       , 78343.17
00685,Zürich 00685       , 93606.32
00686,Zürich 00686       , 88734.59
00687,Zürich 00687       , 12044.02
00688,Zürich 00688       , 71553.18
00689,Zürich 00689       , 75481.39
00690,Zürich 00690       , 31370.61
00691,Zürich 00691       , 47222.46
00692,Zürich 00692       , 42905.23
00693,Zürich 00693       , 69549.56
00694,Zürich 00694       , 11172.23
00695,Zürich 00695       , 80184.86
00696,Zürich 00696       , 44730.05
00697,Zürich 00697       , 39122.52
00698,Zürich 00698       , 99312.15
00699,Zürich 00699       , 35536.55
00700,Zürich 00700       , 95067.34
00701,Zürich 00701       , 96178.94
00702,Zürich 00702       , 65247.15
00703,Zürich 00703       , 65178.45
00704,Zürich 00704       , 67137.99
00705,Zürich 00705       , 48910.59
00706,Zürich 00706       ,  1224.97
00707,Zürich 00707       , 72032.88
00708,Zürich 00708       , 13914.47
00709,Zürich 00709       , 34525.25
00710,Zürich 00710       , 85865.01
00711,Zürich 00711       , 67653.72
00712,Zürich 00712       , 84819.57
00713,Zürich 00713       , 69936.93
00714,Zürich 00714       , 47781.41
00715,Zürich 00715       , 33497.41
00716,Zürich 00716       , 73385.42
00717,Zürich 00717       , 60168.02
00718,Zürich 00718       , 46052.43
00719,Zürich 00719       , 36491.21
00720,Zürich 00720       , 98812.26
00721,Zürich 00721       , 32084.21
00722,Zürich 00722       , 76801.04
00723,Zürich 00723       , 49077.82
00724,Zürich 00724       , 44887.10
00725,Zürich 00725       , 93815.05
00726,Zürich 00726       , 44545.60
00727,Zürich 00727       , 84185.33
00728,Zürich 00728       ,  1654.24
00729,Zürich 00729       , 78178.20
00730,Zürich 00730       , 54518.48
00731,Zürich 00731       , 15048.71
00732,Zürich 00732       , 76454.83
00733,Zürich 00733       ,  3319.58
00734,Zürich 00734       , 25249.73
00735,Zürich 00735       , 85860.47
00736,Zürich 00736       , 50047.31
00737,Zürich 00737       ,  4314.58
00738,Zürich 00738       , 99782.66
00739,Zürich 00739       , 52266.71
00740,Zürich 00740       , 41224.84
00741,Zürich 00741       ,  2005.14
00742,Zürich 00742       , 13239.00
00743,Zürich 00743       , 96775.69
00744,Zürich 00744       , 67799.67
00745,Zürich 00745       , 97017.32
00746,Zürich 00746       , 41676.91
00747,Zürich 00747       , 20730.30
00748,Zürich 00748       , 14940.32
00749,Zürich 00749       , 53508.39
00750,Zürich 00750       , 73349.48
00751,Zürich 00751       , 31274.76
00752,Zürich 00752       , 43100.33
00753,Zürich 00753       , 82672.15
00754,Zürich 00754       , 40523.49
00755,Zürich 00755       , 78685.63
00756,Zürich 00756       , 38463.79
00757,Zürich 00757       , 56807.13
00758,Zürich 00758       , 22104.35
00759,Zürich 00759       , 80803.71
00760,Zürich 00760       , 73692.42
00761,Zürich 00761       , 48658.89
00762,Zürich 00762       , 29998.46
00763,Zürich 00763       , 86943.31
00764,Zürich 00764       , 99545.16
00765,Zürich 00765       , 36658.79
00766,Zürich 00766       , 67422.14
00767,Zürich 00767       , 53174.86
00768,Zürich 00768       ,  9191.59
00769,Zürich 00769       , 31763.09
00770,Zürich 00770       , 10966.72
00771,Zürich 00771       , 84063.42
