trip_id,station_id,minutes
417,600417,57
418,600418,58
419,600419,59
420,600420,0
421,600421,1
422,600422,2
423,600423,3
424,600424,4
425,600425,5
426,600426,6
427,600427,7
428,600428,8
429,600429,9
430,600430,10
431,600431,11
432,600432,12
433,600433,13
434,600434,14
435,600435,15
436,600436,16
437,600437,17
438,600438,18
439,600439,19
440,600440,20
441,600441,21
442,600442,22
443,600443,23
444,600444,24
445,600445,25
446,600446,26
447,600447,27
448,600448,28
449,600449,29
450,600450,30
451,600451,31
452,600452,32
453,600453,33
454,600454,34
455,600455,35
456,600456,36
457,600457,37
458,600458,38
459,600459,39
460,600460,40
461,600461,41
462,600462,42
463,600463,43
464,600464,44
465,600465,45
466,600466,46
467,600467,47
468,600468,48
469,600469,49
470,600470,50
471,600471,51
472,600472,52
473,600473,53
474,600474,54
475,600475,55
476,600476,56
477,600477,57
478,600478,58
479,600479,59
480,600480,0
481,600481,1
482,600482,2
483,600483,3
484,600484,4
485,600485,5
486,600486,6
487,600487,7
488,600488,8
489,600489,9
490,600490,10
491,600491,11
492,600492,12
493,600493,13
494,600494,14
495,600495,15
496,600496,16
497,600497,17
498,600498,18
499,600499,19
500,600500,20
501,600501,21
502,600502,22
503,600503,23
504,600504,24
505,600505,25
506,600506,26
507,600507,27
508,600508,28
509,600509,29
510,600510,30
511,600511,31
512,600512,32
513,600513,33
514,600514,34
515,600515,35
516,600516,36
517,600517,37
518,600518,38
519,600519,39
520,600520,40
521,600521,41
522,600522,42
523,600523,43
524,600524,44
525,600525,45
526,600526,46
527,600527,47
528,600528,48
529,600529,49
530,600530,50
531,600531,51
532,600532,52
533,600533,53
534,600534,54
535,600535,55
536,600536,56
537,600537,57
538,600538,58
539,600539,59
540,600540,0
541,600541,1
542,600542,2
543,600543,3
544,600544,4
545,600545,5
546,600546,6
547,600547,7
548,600548,8
549,600549,9
550,600550,10
551,600551,11
552,600552,12
553,600553,13
554,600554,14
555,600555,15
556,600556,16
557,600557,17
558,600558,18
559,600559,19
560,600560,20
561,600561,21
562,600562,22
563,600563,23
564,600564,24
565,600565,25
566,600566,26
567,600567,27
568,600568,28
569,600569,29
570,600570,30
571,600571,31
572,600572,32
573,600573,33
574,600574,34
575,600575,35
576,600576,36
577,600577,37
578,600578,38
579,600579,39
580,600580,40
581,600581,41
582,600582,42
583,600583,43
584,600584,44
585,600585,45
586,600586,46
587,600587,47
588,600588,48
589,600589,49
590,600590,50
591,600591,51
592,600592,52
593,600593,53
594,600594,54
595,600595,55
596,600596,56
597,600597,57
598,600598,58
599,600599,59
600,600600,0
601,600601,1
602,600602,2
603,600603,3
604,600604,4
605,600605,5
606,600606,6
607,600607,7
608,600608,8
609,600609,9
610,600610,10
611,600611,11
612,600612,12
613,600613,13
614,600614,14
615,600615,15
616,600616,16
617,600617,17
618,600618,18
619,600619,19
620,600620,20
621,600621,21
622,600622,22
623,600623,23
624,600624,24
625,600625,25
626,600626,26
627,600627,27
628,600628,28
629,600629,29
630,600630,30
631,600631,31
632,600632,32
633,600633,33
634,600634,34
635,600635,35
636,600636,36
637,600637,37
638,600638,38
639,600639,39
640,600640,40
641,600641,41
642,600642,42
643,600643,43
644,600644,44
645,600645,45
646,600646,46
647,600647,47
648,600648,48
649,600649,49
650,600650,50
651,600651,51
652,600652,52
653,600653,53
654,600654,54
655,600655,55
656,600656,56
657,600657,57
658,600658,58
659,600659,59
660,600660,0
661,600661,1
662,600662,2
663,600663,3
664,600664,4
665,600665,5
666,600666,6
667,600667,7
668,600668,8
669,600669,9
670,600670,10
671,600671,11
672,600672,12
673,600673,13
674,600674,14
675,600675,15
676,600676,16
677,600677,17
678,600678,18
679,600679,19
680,600680,20
681,600681,21
682,600682,22
683,600683,23
684,600684,24
685,600685,25
686,600686,26
687,600687,27
688,600688,28
689,600689,29
690,600690,30
691,600691,31
692,600692,32
693,600693,33
694,600694,34
695,600695,35
696,600696,36
697,600697,37
698,600698,38
699,600699,39
700,600700,40
701,TA1309000067,41
702,600702,42
703,600703,43
704,600704,44
705,600705,45
706,600706,46
707,600707,47
708,600708,48
709,600709,49
710,600710,50
711,600711,51
712,600712,52
713,600713,53
714,600714,54
715,600715,55
716,600716,56
717,600717,57
718,600718,58
719,600719,59
720,600720,0
721,600721,1
722,600722,2
723,600723,3
724,600724,4
725,600725,5
726,600726,6
727,600727,7
728,600728,8
729,600729,9
730,600730,10
731,600731,11
732,600732,12
733,600733,13
734,600734,14
735,600735,15
736,600736,16
737,600737,17
738,600738,18
739,600739,19
740,600740,20
741,600741,21
742,600742,22
743,600743,23
744,600744,24
745,600745,25
746,600746,26
747,600747,27
748,600748,28
749,600749,29
750,600750,30
751,600751,31
752,600752,32
753,600753,33
754,600754,34
755,600755,35
756,600756,36
757,600757,37
758,600758,38
759,600759,39
760,600760,40
761,600761,41
762,600762,42
763,600763,43
764,600764,44
765,600765,45
766,600766,46
767,600767,47
768,600768,48
769,600769,49
770,600770,50
771,600771,51
772,600772,52
773,600773,53
774,600774,54
775,600775,55
776,600776,56
777,600777,57
778,600778,58
779,600779,59
780,600780,0
781,600781,1
782,600782,2
783,600783,3
784,600784,4
785,600785,5
786,600786,6
787,600787,7
788,600788,8
789,600789,9
790,600790,10
791,600791,11
792,600792,12
793,600793,13
794,600794,14
795,600795,15
796,600796,16
797,600797,17
798,600798,18
799,600799,19
800,600800,20
801,600801,21
802,600802,22
803,600803,23
804,600804,24
805,600805,25
806,600806,26
807,600807,27
808,600808,28
809,600809,29
810,600810,30
811,600811,31
812,600812,32
813,600813,33
814,600814,34
815,600815,35
816,600816,36
817,600817,37
818,600818,38
819,600819,39
820,600820,40
821,600821,41
822,600822,42
823,600823,43
824,600824,44
825,600825,45
826,600826,46
827,600827,47
828,600828,48
829,600829,49
830,600830,50
831,600831,51
832,600832,52
833,600833,53
834,600834,54
835,600835,55
836,600836,56
837,600837,57
838,600838,58
839,600839,59
840,600840,0
841,600841,1
842,600842,2
843,600843,3
844,600844,4
845,TA1309000067,5
846,600846,6
847,600847,7
848,600848,8
849,600849,9
850,600850,10
851,600851,11
852,600852,12
853,600853,13
854,600854,14
855,600855,15
856,600856,16
857,600857,17
858,600858,18
859,600859,19
860,600860,20
861,600861,21
862,600862,22
863,600863,23
864,600864,24
865,600865,25
866,600866,26
867,600867,27
868,600868,28
869,600869,29
870,600870,30
871,600871,31
872,600872,32
873,600873,33
874,600874,34
875,600875,35
876,600876,36
877,600877,37
878,600878,38
879,600879,39
880,600880,40
881,600881,41
882,600882,42
883,600883,43
884,600884,44
885,600885,45
886,600886,46
887,600887,47
888,600888,48
889,600889,49
890,600890,50
891,600891,51
892,600892,52
893,600893,53
894,600894,54
895,600895,55
896,600896,56
897,600897,57
898,600898,58
899,600899,59
900,600900,0
901,600901,1
902,600902,2
903,600903,3
904,600904,4
905,600905,5
906,600906,6
907,600907,7
908,600908,8
909,600909,9
910,600910,10
911,600911,11
912,600912,12
913,600913,13
914,600914,14
915,600915,15
916,600916,16
917,600917,17
918,600918,18
919,600919,19
920,600920,20
921,600921,21
922,600922,22
923,600923,23
924,600924,24
925,600925,25
926,600926,26
927,600927,27
928,600928,28
929,600929,29
930,600930,30
931,600931,31
932,600932,32
933,600933,33
934,600934,34
935,600935,35
936,600936,36
937,600937,37
938,600938,38
939,600939,39
940,600940,40
941,600941,41
942,600942,42
943,600943,43
944,600944,44
945,600945,45
946,600946,46
947,600947,47
948,600948,48
949,600949,49
950,600950,50
951,600951,51
952,600952,52
953,600953,53
954,600954,54
955,600955,55
956,600956,56
957,600957,57
958,600958,58
959,600959,59
960,600960,0
961,600961,1
962,600962,2
963,600963,3
964,600964,4
965,600965,5
966,600966,6
967,600967,7
968,600968,8
969,600969,9
970,600970,10
971,600971,11
972,600972,12
973,600973,13
974,600974,14
975,600975,15
976,600976,16
977,600977,17
978,600978,18
979,600979,19
980,600980,20
981,600981,21
982,600982,22
983,600983,23
984,600984,24
985,600985,25
986,600986,26
987,600987,27
988,600988,28
989,600989,29
990,600990,30
991,600991,31
992,600992,32
993,600993,33
994,600994,34
995,600995,35
996,600996,36
997,600997,37
998,600998,38
999,600999,39
1000,601000,40
