code,name,region
AD-0072,FFFFFFFFFF,Region0
AD-0073,FFFFFFFFFF,Region0
AD-0074,FFFFFFFFFF,Region0
AD-0075,FFFFFFFFFF,Region0
AD-0076,FFFFFFFFFF,Region0
AD-0077,FFFFFFFFFF,Region0
AD-0078,FFFFFFFFFF,Region0
AD-0079,FFFFFFFFFF,Region0
AD-0080,FFFFFFFFFF,Region0
AD-0081,FFFFFFFFFF,Region0
AD-0082,FFFFFFFFFF,Region0
AD-0083,FFFFFFFFFF,Region0
AD-0084,FFFFFFFFFF,Region0
AD-0085,FFFFFFFFFF,Region0
AD-0086,FFFFFFFFFF,Region0
AD-0087,FFFFFFFFFF,Region0
AD-0088,FFFFFFFFFF,Region0
AD-0089,FFFFFFFFFF,Region0
AD-0090,FFFFFFFFFF,Region0
AD-0091,FFFFFFFFFF,Region0
AD-0092,FFFFFFFFFF,Region0
AD-0093,FFFFFFFFFF,Region0
AD-0094,FFFFFFFFFF,Region0
AD-0095,FFFFFFFFFF,Region0
AD-0096,FFFFFFFFFF,Region0
AD-0097,FFFFFFFFFF,Region0
AD-0098,FFFFFFFFFF,Region0
AD-0099,FFFFFFFFFF,Region0
AD-0100,FFFFFFFFFF,Region0
AD-0101,FFFFFFFFFF,Region0
AD-0102,FFFFFFFFFF,Region0
AD-0103,FFFFFFFFFF,Region0
AD-0104,FFFFFFFFFF,Region0
AD-0105,FFFFFFFFFF,Region0
AD-0106,FFFFFFFFFF,Region0
AD-0107,FFFFFFFFFF,Region0
AD-0108,FFFFFFFFFF,Region0
AD-0109,FFFFFFFFFF,Region0
AD-0110,FFFFFFFFFF,Region0
AD-0111,FFFFFFFFFF,Region0
AD-0112,FFFFFFFFFF,Region0
AD-0113,FFFFFFFFFF,Region0
AD-0114,FFFFFFFFFF,Region0
AD-0115,FFFFFFFFFF,Region0
AD-0116,FFFFFFFFFF,Region0
AD-0117,FFFFFFFFFF,Region0
AD-0118,FFFFFFFFFF,Region0
AD-0119,FFFFFFFFFF,Region0
AD-0120,FFFFFFFFFF,Region0
AD-0121,FFFFFFFFFF,Region0
AD-0122,FFFFFFFFFF,Region0
AD-0123,FFFFFFFFFF,Region0
AD-0124,FFFFFFFFFF,Region0
AD-0125,FFFFFFFFFF,Region0
AD-0126,FFFFFFFFFF,Region0
AD-0127,FFFFFFFFFF,Region0
AD-0128,FFFFFFFFFF,Region0
AD-0129,FFFFFFFFFF,Region0
AD-0130,FFFFFFFFFF,Region0
AD-0131,FFFFFFFFFF,Region0
AD-0132,FFFFFFFFFF,Region0
AD-0133,FFFFFFFFFF,Region0
AD-0134,FFFFFFFFFF,Region0
AD-0135,FFFFFFFFFF,Region0
AD-0136,FFFFFFFFFF,Region0
AD-0137,FFFFFFFFFF,Region0
AD-0138,FFFFFFFFFF,Region0
AD-0139,FFFFFFFFFF,Region0
AD-0140,FFFFFFFFFF,Region0
AD-0141,FFFFFFFFFF,Region0
AD-0142,FFFFFFFFFF,Region0
AD-0143,FFFFFFFFFF,Region0
AD-0144,FFFFFFFFFF,Region0
AD-0145,FFFFFFFFFF,Region0
AD-0146,FFFFFFFFFF,Region0
AD-0147,FFFFFFFFFF,Region0
AD-0148,FFFFFFFFFF,Region0
AD-0149,FFFFFFFFFF,Region0
AD-0150,FFFFFFFFFF,Region0
AD-0151,FFFFFFFFFF,Region0
AD-0152,FFFFFFFFFF,Region0
AD-0153,FFFFFFFFFF,Region0
AD-0154,FFFFFFFFFF,Region0
AD-0155,FFFFFFFFFF,Region0
AD-0156,FFFFFFFFFF,Region0
AD-0157,FFFFFFFFFF,Region0
AD-0158,FFFFFFFFFF,Region0
AD-0159,FFFFFFFFFF,Region0
AD-0160,FFFFFFFFFF,Region0
AD-0161,FFFFFFFFFF,Region0
AD-0162,FFFFFFFFFF,Region0
AD-0163,FFFFFFFFFF,Region0
AD-0164,FFFFFFFFFF,Region0
AD-0165,FFFFFFFFFF,Region0
AD-0166,FFFFFFFFFF,Region0
AD-0167,FFFFFFFFFF,Region0
AD-0168,FFFFFFFFFF,Region0
AD-0169,FFFFFFFFFF,Region0
AD-0170,FFFFFFFFFF,Region0
AD-0171,FFFFFFFFFF,Region0
AD-0172,FFFFFFFFFF,Region0
AD-0173,FFFFFFFFFF,Region0
AD-0174,FFFFFFFFFF,Region0
AD-0175,FFFFFFFFFF,Region0
AD-0176,FFFFFFFFFF,Region0
AD-0177,FFFFFFFFFF,Region0
AD-0178,FFFFFFFFFF,Region0
AD-0179,FFFFFFFFFF,Region0
AD-0180,FFFFFFFFFF,Region0
AD-0181,FFFFFFFFFF,Region0
AD-0182,FFFFFFFFFF,Region0
AD-0183,FFFFFFFFFF,Region0
AD-0184,FFFFFFFFFF,Region0
AD-0185,FFFFFFFFFF,Region0
AD-0186,FFFFFFFFFF,Region0
AD-0187,FFFFFFFFFF,Region0
AD-0188,FFFFFFFFFF,Region0
AD-0189,FFFFFFFFFF,Region0
AD-0190,FFFFFFFFFF,Region0
AD-0191,FFFFFFFFFF,Region0
AD-0192,FFFFFFFFFF,Region0
AD-0193,FFFFFFFFFF,Region0
AD-0194,FFFFFFFFFF,Region0
AD-0195,FFFFFFFFFF,Region0
AD-0196,FFFFFFFFFF,Region0
AD-0197,FFFFFFFFFF,Region0
AD-0198,FFFFFFFFFF,Region0
AD-0199,FFFFFFFFFF,Region0
AD-0200,FFFFFFFFFF,Region0
AD-0201,FFFFFFFFFF,Region0
AD-0202,FFFFFFFFFF,Region0
AD-0203,FFFFFFFFFF,Region0
AD-0204,FFFFFFFFFF,Region0
AD-0205,FFFFFFFFFF,Region0
AD-0206,FFFFFFFFFF,Region0
AD-0207,FFFFFFFFFF,Region0
AD-0208,FFFFFFFFFF,Region0
AD-0209,FFFFFFFFFF,Region0
AD-0210,FFFFFFFFFF,Region0
AD-0211,FFFFFFFFFF,Region0
AD-0212,FFFFFFFFFF,Region0
AD-0213,FFFFFFFFFF,Region0
AD-0214,FFFFFFFFFF,Region0
AD-0215,FFFFFFFFFF,Region0
AD-0216,FFFFFFFFFF,Region0
AD-0217,FFFFFFFFFF,Region0
AD-0218,FFFFFFFFFF,Region0
AD-0219,FFFFFFFFFF,Region0
AD-0220,FFFFFFFFFF,Region0
AD-0221,FFFFFFFFFF,Region0
AD-0222,FFFFFFFFFF,Region0
AD-0223,FFFFFFFFFF,Region0
AD-0224,FFFFFFFFFF,Region0
AD-0225,FFFFFFFFFF,Region0
AD-0226,FFFFFFFFFF,Region0
AD-0227,FFFFFFFFFF,Region0
AD-0228,FFFFFFFFFF,Region0
AD-0229,FFFFFFFFFF,Region0
AD-0230,FFFFFFFFFF,Region0
AD-0231,FFFFFFFFFF,Region0
AD-0232,FFFFFFFFFF,Region0
AD-0233,FFFFFFFFFF,Region0
AD-0234,FFFFFFFFFF,Region0
AD-0235,FFFFFFFFFF,Region0
AD-0236,FFFFFFFFFF,Region0
AD-0237,FFFFFFFFFF,Region0
AD-0238,FFFFFFFFFF,Region0
AD-0239,FFFFFFFFFF,Region0
AD-0240,FFFFFFFFFF,Region0
AD-0241,FFFFFFFFFF,Region0
AD-0242,FFFFFFFFFF,Region0
AD-0243,FFFFFFFFFF,Region0
AD-0244,FFFFFFFFFF,Region0
AD-0245,FFFFFFFFFF,Region0
AD-0246,FFFFFFFFFF,Region0
AD-0247,FFFFFFFFFF,Region0
AD-0248,FFFFFFFFFF,Region0
AD-0249,FFFFFFFFFF,Region0
AD-0250,FFFFFFFFFF,Region0
AD-0251,FFFFFFFFFF,Region0
AD-0252,FFFFFFFFFF,Region0
AD-0253,FFFFFFFFFF,Region0
AD-0254,FFFFFFFFFF,Region0
AD-0255,FFFFFFFFFF,Region0
AD-0256,FFFFFFFFFF,Region0
AD-0257,FFFFFFFFFF,Region0
AD-0258,FFFFFFFFFF,Region0
AD-0259,FFFFFFFFFF,Region0
AD-0260,FFFFFFFFFF,Region0
AD-0261,FFFFFFFFFF,Region0
AD-0262,FFFFFFFFFF,Region0
AD-0263,FFFFFFFFFF,Region0
AD-0264,FFFFFFFFFF,Region0
AD-0265,FFFFFFFFFF,Region0
AD-0266,FFFFFFFFFF,Region0
AD-0267,FFFFFFFFFF,Region0
AD-0268,FFFFFFFFFF,Region0
AD-0269,FFFFFFFFFF,Region0
AD-0270,FFFFFFFFFF,Region0
AD-0271,FFFFFFFFFF,Region0
AD-0272,FFFFFFFFFF,Region0
AD-0273,FFFFFFFFFF,Region0
AD-0274,FFFFFFFFFF,Region0
AD-0275,FFFFFFFFFF,Region0
AD-0276,FFFFFFFFFF,Region0
AD-0277,FFFFFFFFFF,Region0
AD-0278,FFFFFFFFFF,Region0
AD-0279,FFFFFFFFFF,Region0
AD-0280,FFFFFFFFFF,Region0
AD-0281,FFFFFFFFFF,Region0
AD-0282,FFFFFFFFFF,Region0
AD-0283,FFFFFFFFFF,Region0
AD-0284,FFFFFFFFFF,Region0
AD-0285,FFFFFFFFFF,Region0
AD-0286,FFFFFFFFFF,Region0
AD-0287,FFFFFFFFFF,Region0
AD-0288,FFFFFFFFFF,Region0
AD-0289,FFFFFFFFFF,Region0
AD-0290,FFFFFFFFFF,Region0
AD-0291,FFFFFFFFFF,Region0
AD-0292,FFFFFFFFFF,Region0
AD-0293,FFFFFFFFFF,Region0
AD-0294,FFFFFFFFFF,Region0
AD-0295,FFFFFFFFFF,Region0
AD-0296,FFFFFFFFFF,Region0
AD-0297,FFFFFFFFFF,Region0
AD-0298,FFFFFFFFFF,Region0
AD-0299,FFFFFFFFFF,Region0
AD-0300,FFFFFFFFFF,Region0
AD-0301,FFFFFFFFFF,Region0
AD-0302,FFFFFFFFFF,Region0
AD-0303,FFFFFFFFFF,Region0
AD-0304,FFFFFFFFFF,Region0
AD-0305,FFFFFFFFFF,Region0
AD-0306,FFFFFFFFFF,Region0
AD-0307,FFFFFFFFFF,Region0
AD-0308,FFFFFFFFFF,Region0
AD-0309,FFFFFFFFFF,Region0
AD-0310,FFFFFFFFFF,Region0
AD-0311,FFFFFFFFFF,Region0
AD-0312,FFFFFFFFFF,Region0
AD-0313,FFFFFFFFFF,Region0
AD-0314,FFFFFFFFFF,Region0
AD-0315,FFFFFFFFFF,Region0
AD-0316,FFFFFFFFFF,Region0
AD-0317,FFFFFFFFFF,Region0
AD-0318,FFFFFFFFFF,Region0
AD-0319,FFFFFFFFFF,Region0
AD-0320,FFFFFFFFFF,Region0
AD-0321,FFFFFFFFFF,Region0
AD-0322,FFFFFFFFFF,Region0
AD-0323,FFFFFFFFFF,Region0
AD-0324,FFFFFFFFFF,Region0
AD-0325,FFFFFFFFFF,Region0
AD-0326,FFFFFFFFFF,Region0
AD-0327,FFFFFFFFFF,Region0
AD-0328,FFFFFFFFFF,Region0
AD-0329,FFFFFFFFFF,Region0
AD-0330,FFFFFFFFFF,Region0
AD-0331,FFFFFFFFFF,Region0
AD-0332,FFFFFFFFFF,Region0
AD-0333,FFFFFFFFFF,Region0
AD-0334,FFFFFFFFFF,Region0
AD-0335,FFFFFFFFFF,Region0
AD-0336,FFFFFFFFFF,Region0
AD-0337,FFFFFFFFFF,Region0
AD-0338,FFFFFFFFFF,Region0
AD-0339,FFFFFFFFFF,Region0
AD-0340,FFFFFFFFFF,Region0
AD-0341,FFFFFFFFFF,Region0
AD-0342,FFFFFFFFFF,Region0
AD-0343,FFFFFFFFFF,Region0
AD-0344,FFFFFFFFFF,Region0
AD-0345,FFFFFFFFFF,Region0
AD-0346,FFFFFFFFFF,Region0
AD-0347,FFFFFFFFFF,Region0
AD-0348,FFFFFFFFFF,Region0
AD-0349,FFFFFFFFFF,Region0
AD-0350,FFFFFFFFFF,Region0
AD-0351,FFFFFFFFFF,Region0
AD-0352,FFFFFFFFFF,Region0
AD-0353,FFFFFFFFFF,Region0
AD-0354,FFFFFFFFFF,Region0
AD-0355,FFFFFFFFFF,Region0
AD-0356,FFFFFFFFFF,Region0
AD-0357,FFFFFFFFFF,Region0
AD-0358,FFFFFFFFFF,Region0
AD-0359,FFFFFFFFFF,Region0
AD-0360,FFFFFFFFFF,Region0
AD-0361,FFFFFFFFFF,Region0
AD-0362,FFFFFFFFFF,Region0
AD-0363,FFFFFFFFFF,Region0
AD-0364,FFFFFFFFFF,Region0
AD-0365,FFFFFFFFFF,Region0
AD-0366,FFFFFFFFFF,Region0
AD-0367,FFFFFFFFFF,Region0
AD-0368,FFFFFFFFFF,Region0
AD-0369,FFFFFFFFFF,Region0
AD-0370,FFFFFFFFFF,Region0
AD-0371,FFFFFFFFFF,Region0
AD-0372,FFFFFFFFFF,Region0
AD-0373,FFFFFFFFFF,Region0
AD-0374,FFFFFFFFFF,Region0
AD-0375,FFFFFFFFFF,Region0
AD-0376,FFFFFFFFFF,Region0
AD-0377,FFFFFFFFFF,Region0
AD-0378,FFFFFFFFFF,Region0
AD-0379,FFFFFFFFFF,Region0
AD-0380,FFFFFFFFFF,Region0
AD-0381,FFFFFFFFFF,Region0
AD-0382,FFFFFFFFFF,Region0
AD-0383,FFFFFFFFFF,Region0
AD-0384,FFFFFFFFFF,Region0
AD-0385,FFFFFFFFFF,Region0
AD-0386,FFFFFFFFFF,Region0
AD-0387,FFFFFFFFFF,Region0
AD-0388,FFFFFFFFFF,Region0
AD-0389,FFFFFFFFFF,Region0
AD-0390,FFFFFFFFFF,Region0
AD-0391,FFFFFFFFFF,Region0
AD-0392,FFFFFFFFFF,Region0
AD-0393,FFFFFFFFFF,Region0
AD-0394,FFFFFFFFFF,Region0
AD-0395,FFFFFFFFFF,Region0
AD-0396,FFFFFFFFFF,Region0
AD-0397,FFFFFFFFFF,Region0
AD-0398,FFFFFFFFFF,Region0
AD-0399,FFFFFFFFFF,Region0
AD-0400,FFFFFFFFFF,Region0
AD-0401,FFFFFFFFFF,Region0
AD-0402,FFFFFFFFFF,Region0
AD-0403,FFFFFFFFFF,Region0
AD-0404,FFFFFFFFFF,Region0
AD-0405,FFFFFFFFFF,Region0
AD-0406,FFFFFFFFFF,Region0
AD-0407,FFFFFFFFFF,Region0
AD-0408,FFFFFFFFFF,Region0
AD-0409,FFFFFFFFFF,Region0
AD-0410,FFFFFFFFFF,Region0
AD-0411,FFFFFFFFFF,Region0
AD-0412,FFFFFFFFFF,Region0
AD-0413,FFFFFFFFFF,Region0
AD-0414,FFFFFFFFFF,Region0
AD-0415,FFFFFFFFFF,Region0
AD-0416,FFFFFFFFFF,Region0
AD-0417,FFFFFFFFFF,Region0
AD-0418,FFFFFFFFFF,Region0
AD-0419,FFFFFFFFFF,Region0
AD-0420,FFFFFFFFFF,Region0
AD-0421,FFFFFFFFFF,Region0
AD-0422,FFFFFFFFFF,Region0
AD-0423,FFFFFFFFFF,Region0
AD-0424,FFFFFFFFFF,Region0
AD-0425,FFFFFFFFFF,Region0
AD-0426,FFFFFFFFFF,Region0
AD-0427,FFFFFFFFFF,Region0
AD-0428,FFFFFFFFFF,Region0
AD-0429,FFFFFFFFFF,Region0
AD-0430,FFFFFFFFFF,Region0
AD-0431,FFFFFFFFFF,Region0
AD-0432,FFFFFFFFFF,Region0
AD-0433,FFFFFFFFFF,Region0
AD-0434,FFFFFFFFFF,Region0
AD-0435,FFFFFFFFFF,Region0
AD-0436,FFFFFFFFFF,Region0
AD-0437,FFFFFFFFFF,Region0
AD-0438,FFFFFFFFFF,Region0
AD-0439,FFFFFFFFFF,Region0
AD-0440,FFFFFFFFFF,Region0
AD-0441,FFFFFFFFFF,Region0
AD-0442,FFFFFFFFFF,Region0
AD-0443,FFFFFFFFFF,Region0
AD-0444,FFFFFFFFFF,Region0
AD-0445,FFFFFFFFFF,Region0
AD-0446,FFFFFFFFFF,Region0
AD-0447,FFFFFFFFFF,Region0
AD-0448,FFFFFFFFFF,Region0
AD-0449,FFFFFFFFFF,Region0
AD-0450,FFFFFFFFFF,Region0
AD-0451,FFFFFFFFFF,Region0
AD-0452,FFFFFFFFFF,Region0
AD-0453,FFFFFFFFFF,Region0
AD-0454,FFFFFFFFFF,Region0
AD-0455,FFFFFFFFFF,Region0
AD-0456,FFFFFFFFFF,Region0
AD-0457,FFFFFFFFFF,Region0
AD-0458,FFFFFFFFFF,Region0
AD-0459,FFFFFFFFFF,Region0
AD-0460,FFFFFFFFFF,Region0
AD-0461,FFFFFFFFFF,Region0
AD-0462,FFFFFFFFFF,Region0
AD-0463,FFFFFFFFFF,Region0
AD-0464,FFFFFFFFFF,Region0
AD-0465,FFFFFFFFFF,Region0
AD-0466,FFFFFFFFFF,Region0
AD-0467,FFFFFFFFFF,Region0
AD-0468,FFFFFFFFFF,Region0
AD-0469,FFFFFFFFFF,Region0
AD-0470,FFFFFFFFFF,Region0
AD-0471,FFFFFFFFFF,Region0
AD-0472,FFFFFFFFFF,Region0
AD-0473,FFFFFFFFFF,Region0
AD-0474,FFFFFFFFFF,Region0
AD-0475,FFFFFFFFFF,Region0
AD-0476,FFFFFFFFFF,Region0
AD-0477,FFFFFFFFFF,Region0
AD-0478,FFFFFFFFFF,Region0
AD-0479,FFFFFFFFFF,Region0
AD-0480,FFFFFFFFFF,Region0
AD-0481,FFFFFFFFFF,Region0
AD-0482,FFFFFFFFFF,Region0
AD-0483,FFFFFFFFFF,Region0
AD-0484,FFFFFFFFFF,Region0
AD-0485,FFFFFFFFFF,Region0
AD-0486,FFFFFFFFFF,Region0
AD-0487,FFFFFFFFFF,Region0
AD-0488,FFFFFFFFFF,Region0
AD-0489,FFFFFFFFFF,Region0
AD-0490,FFFFFFFFFF,Region0
AD-0491,FFFFFFFFFF,Region0
AD-0492,FFFFFFFFFF,Region0
AD-0493,FFFFFFFFFF,Region0
AD-0494,FFFFFFFFFF,Region0
AD-0495,FFFFFFFFFF,Region0
AD-0496,FFFFFFFFFF,Region0
AD-0497,FFFFFFFFFF,Region0
AD-0498,FFFFFFFFFF,Region0
AD-0499,FFFFFFFFFF,Region0
AD-0500,FFFFFFFFFF,Region0
AD-0501,FFFFFFFFFF,Region0
AD-0502,FFFFFFFFFF,Region0
AD-0503,FFFFFFFFFF,Region0
AD-0504,FFFFFFFFFF,Region0
AD-0505,FFFFFFFFFF,Region0
AD-0506,FFFFFFFFFF,Region0
AD-0507,FFFFFFFFFF,Region0
AD-0508,FFFFFFFFFF,Region0
AD-0509,FFFFFFFFFF,Region0
AD-0510,FFFFFFFFFF,Region0
AD-0511,FFFFFFFFFF,Region0
AD-0512,FFFFFFFFFF,Region0
AD-0513,FFFFFFFFFF,Region0
AD-0514,FFFFFFFFFF,Region0
AD-0515,FFFFFFFFFF,Region0
AD-0516,FFFFFFFFFF,Region0
AD-0517,FFFFFFFFFF,Region0
AD-0518,FFFFFFFFFF,Region0
AD-0519,FFFFFFFFFF,Region0
AD-0520,FFFFFFFFFF,Region0
AD-0521,FFFFFFFFFF,Region0
AD-0522,FFFFFFFFFF,Region0
AD-0523,FFFFFFFFFF,Region0
AD-0524,FFFFFFFFFF,Region0
AD-0525,FFFFFFFFFF,Region0
AD-0526,FFFFFFFFFF,Region0
AD-0527,FFFFFFFFFF,Region0
AD-0528,FFFFFFFFFF,Region0
AD-0529,FFFFFFFFFF,Region0
AD-0530,FFFFFFFFFF,Region0
AD-0531,FFFFFFFFFF,Region0
AD-0532,FFFFFFFFFF,Region0
AD-0533,FFFFFFFFFF,Region0
AD-0534,FFFFFFFFFF,Region0
AD-0535,FFFFFFFFFF,Region0
AD-0536,FFFFFFFFFF,Region0
AD-0537,FFFFFFFFFF,Region0
AD-0538,FFFFFFFFFF,Region0
AD-0539,FFFFFFFFFF,Region0
AD-0540,FFFFFFFFFF,Region0
AD-0541,FFFFFFFFFF,Region0
AD-0542,FFFFFFFFFF,Region0
AD-0543,FFFFFFFFFF,Region0
AD-0544,FFFFFFFFFF,Region0
AD-0545,FFFFFFFFFF,Region0
AD-0546,FFFFFFFFFF,Region0
AD-0547,FFFFFFFFFF,Region0
AD-0548,FFFFFFFFFF,Region0
AD-0549,FFFFFFFFFF,Region0
AD-0550,FFFFFFFFFF,Region0
AD-0551,FFFFFFFFFF,Region0
AD-0552,FFFFFFFFFF,Region0
AD-0553,FFFFFFFFFF,Region0
AD-0554,FFFFFFFFFF,Region0
AD-0555,FFFFFFFFFF,Region0
AD-0556,FFFFFFFFFF,Region0
AD-0557,FFFFFFFFFF,Region0
AD-0558,FFFFFFFFFF,Region0
AD-0559,FFFFFFFFFF,Region0
AD-0560,FFFFFFFFFF,Region0
AD-0561,FFFFFFFFFF,Region0
AD-0562,FFFFFFFFFF,Region0
AD-0563,FFFFFFFFFF,Region0
AD-0564,FFFFFFFFFF,Region0
AD-0565,FFFFFFFFFF,Region0
AD-0566,FFFFFFFFFF,Region0
AD-0567,FFFFFFFFFF,Region0
AD-0568,FFFFFFFFFF,Region0
AD-0569,FFFFFFFFFF,Region0
AD-0570,FFFFFFFFFF,Region0
AD-0571,FFFFFFFFFF,Region0
AD-0572,FFFFFFFFFF,Region0
AD-0573,FFFFFFFFFF,Region0
AD-0574,FFFFFFFFFF,Region0
AD-0575,FFFFFFFFFF,Region0
AD-0576,FFFFFFFFFF,Region0
AD-0577,FFFFFFFFFF,Region0
AD-0578,FFFFFFFFFF,Region0
AD-0579,FFFFFFFFFF,Region0
AD-0580,FFFFFFFFFF,Region0
AD-0581,FFFFFFFFFF,Region0
AD-0582,FFFFFFFFFF,Region0
AD-0583,FFFFFFFFFF,Region0
AD-0584,FFFFFFFFFF,Region0
AD-0585,FFFFFFFFFF,Region0
AD-0586,FFFFFFFFFF,Region0
AD-0587,FFFFFFFFFF,Region0
AD-0588,FFFFFFFFFF,Region0
AD-0589,FFFFFFFFFF,Region0
AD-0590,FFFFFFFFFF,Region0
AD-0591,FFFFFFFFFF,Region0
AD-0592,FFFFFFFFFF,Region0
AD-0593,FFFFFFFFFF,Region0
AD-0594,FFFFFFFFFF,Region0
AD-0595,FFFFFFFFFF,Region0
AD-0596,FFFFFFFFFF,Region0
AD-0597,FFFFFFFFFF,Region0
AD-0598,FFFFFFFFFF,Region0
AD-0599,FFFFFFFFFF,Region0
AD-0600,FFFFFFFFFF,Region0
AD-0601,FFFFFFFFFF,Region0
AD-0602,FFFFFFFFFF,Region0
AD-0603,FFFFFFFFFF,Region0
AD-0604,FFFFFFFFFF,Region0
AD-0605,FFFFFFFFFF,Region0
AD-0606,FFFFFFFFFF,Region0
AD-0607,FFFFFFFFFF,Region0
AD-0608,FFFFFFFFFF,Region0
AD-0609,FFFFFFFFFF,Region0
AD-0610,FFFFFFFFFF,Region0
AD-0611,FFFFFFFFFF,Region0
AD-0612,FFFFFFFFFF,Region0
AD-0613,FFFFFFFFFF,Region0
AD-0614,FFFFFFFFFF,Region0
AD-0615,FFFFFFFFFF,Region0
AD-0616,FFFFFFFFFF,Region0
AD-0617,FFFFFFFFFF,Region0
AD-0618,FFFFFFFFFF,Region0
AD-0619,FFFFFFFFFF,Region0
AD-0620,FFFFFFFFFF,Region0
AD-0621,FFFFFFFFFF,Region0
AD-0622,FFFFFFFFFF,Region0
AD-0623,FFFFFFFFFF,Region0
AD-0624,FFFFFFFFFF,Region0
AD-0625,FFFFFFFFFF,Region0
AD-0626,FFFFFFFFFF,Region0
AD-0627,FFFFFFFFFF,Region0
AD-0628,FFFFFFFFFF,Region0
AD-0629,FFFFFFFFFF,Region0
AD-0630,FFFFFFFFFF,Region0
AD-0631,FFFFFFFFFF,Region0
AD-0632,FFFFFFFFFF,Region0
AD-0633,FFFFFFFFFF,Region0
AD-0634,FFFFFFFFFF,Region0
AD-0635,FFFFFFFFFF,Region0
AD-0636,FFFFFFFFFF,Region0
AD-0637,FFFFFFFFFF,Region0
AD-0638,FFFFFFFFFF,Region0
AD-0639,FFFFFFFFFF,Region0
AD-0640,FFFFFFFFFF,Region0
AD-0641,FFFFFFFFFF,Region0
AD-0642,FFFFFFFFFF,Region0
AD-0643,FFFFFFFFFF,Region0
AD-0644,FFFFFFFFFF,Region0
AD-0645,FFFFFFFFFF,Region0
AD-0646,FFFFFFFFFF,Region0
AD-0647,FFFFFFFFFF,Region0
AD-0648,FFFFFFFFFF,Region0
AD-0649,FFFFFFFFFF,Region0
AD-0650,FFFFFFFFFF,Region0
AD-0651,FFFFFFFFFF,Region0
AD-0652,FFFFFFFFFF,Region0
AD-0653,FFFFFFFFFF,Region0
AD-0654,FFFFFFFFFF,Region0
AD-0655,FFFFFFFFFF,Region0
AD-0656,FFFFFFFFFF,Region0
AD-0657,FFFFFFFFFF,Region0
AD-0658,FFFFFFFFFF,Region0
AD-0659,FFFFFFFFFF,Region0
AD-0660,FFFFFFFFFF,Region0
AD-0661,FFFFFFFFFF,Region0
AD-0662,FFFFFFFFFF,Region0
AD-0663,FFFFFFFFFF,Region0
AD-0664,FFFFFFFFFF,Region0
AD-0665,FFFFFFFFFF,Region0
