id,kunde,betrag
00194,Kunde 00194         , 18422.14
00195,Kunde 00195         , 57823.50
00196,Kunde 00196         , 12518.37
00197,Kunde 00197         , 95067.16
00198,Kunde 00198         , 37608.48
00199,Kunde 00199         , 67285.05
00200,Kunde 00200         , 26652.29
00201,Kunde 00201         , 34686.30
00202,Kunde 00202         , 56518.64
00203,Kunde 00203         , 64202.31
00204,Kunde 00204         , 65630.26
00205,Kunde 00205         , 35790.09
00206,Kunde 00206         , 50207.48
00207,Kunde 00207         , 14430.48
00208,Kunde 00208         ,  3221.03
00209,Kunde 00209         , 97769.88
00210,Kunde 00210         , 11481.90
00211,Kunde 00211         , 37083.39
00212,Kunde 00212         , 55202.98
00213,Kunde 00213         , 82557.36
00214,Kunde 00214         , 77273.09
00215,Kunde 00215         , 56768.83
00216,Kunde 00216         , 56522.31
00217,Kunde 00217         , 97039.90
00218,Kunde 00218         ,  2858.93
00219,Kunde 00219         , 92731.91
00220,Kunde 00220         , 92637.40
00221,Kunde 00221         , 98504.97
00222,Kunde 00222         , 80379.63
00223,Kunde 00223         ,  2848.93
00224,Kunde 00224         ,  4130.39
00225,Kunde 00225         , 99478.63
00226,Kunde 00226         , 68500.35
00227,Kunde 00227         , 70154.70
00228,Kunde 00228         , 93725.58
00229,Kunde 00229         ,  6948.91
00230,Kunde 00230         , 80078.78
00231,Kunde 00231         , 42987.47
00232,Kunde 00232         ,   262.25
00233,Kunde 00233         , 28795.04
00234,Kunde 00234         , 40666.87
00235,Kunde 00235         , 72679.30
00236,Kunde 00236         , 90711.93
00237,Kunde 00237         , 36511.09
00238,Kunde 00238         , 44638.47
00239,Kunde 00239         , 72693.07
00240,Kunde 00240         ,  7149.54
00241,Kunde 00241         , 51219.44
00242,Kunde 00242         ,  4697.53
00243,Kunde 00243         , 59517.96
00244,Kunde 00244         , 82899.04
00245,Kunde 00245         , 56598.87
00246,Kunde 00246         , 56315.67
00247,Kunde 00247         , 38012.31
00248,Kunde 00248         , 89148.18
00249,Kunde 00249         , 27772.97
00250,Kunde 00250         , 85392.10
00251,Kunde 00251         , 66804.93
00252,Kunde 00252         , 86580.34
00253,Kunde 00253         , 98475.95
00254,Kunde 00254         , 98546.15
00255,Kunde 00255         , 16165.64
00256,Kunde 00256         ,  1406.67
00257,Kunde 00257         , 63910.21
00258,Kunde 00258         , 55252.04
00259,Kunde 00259         , 19552.81
00260,Kunde 00260         , 66082.33
00261,Kunde 00261         ,  9206.51
00262,Kunde 00262         , 13578.92
00263,Kunde 00263         ,  9049.99
00264,Kunde 00264         , 54727.65
00265,Kunde 00265         , 18054.56
00266,Kunde 00266         , 80973.79
00267,Kunde 00267         , 96609.96
00268,Kunde 00268         , 17519.51
00269,Kunde 00269         , 79413.68
00270,Kunde 00270         , 24645.05
00271,Kunde 00271         , 77841.77
00272,Kunde 00272         , 15918.17
00273,Kunde 00273         , 58918.77
00274,Kunde 00274         , 32925.21
00275,Kunde 00275         , 35937.36
00276,Kunde 00276         , 63233.52
00277,Kunde 00277         , 38908.20
00278,Kunde 00278         , 40938.98
00279,Kunde 00279         , 72844.16
00280,Kunde 00280         , 54362.67
00281,Kunde 00281         ,  5857.30
00282,Kunde 00282         , 55414.67
00283,Kunde 00283         , 59833.39
00284,Kunde 00284         , 63194.13
00285,Kunde 00285         , 96561.22
00286,Kunde 00286         , 60824.80
00287,Kunde 00287         , 63972.21
00288,Kunde 00288         , 74781.97
00289,Kunde 00289         , 76364.16
00290,Kunde 00290         , 15939.86
00291,Kunde 00291         , 39326.22
00292,Kunde 00292         , 16742.04
00293,Kunde 00293         , 47409.45
00294,Kunde 00294         , 86638.97
00295,Kunde 00295         , 70827.35
00296,Kunde 00296         , 75984.18
00297,Kunde 00297         , 84111.81
00298,Kunde 00298         ,  4898.07
00299,Kunde 00299         , 24309.64
00300,Kunde 00300         , 49917.38
00301,Kunde 00301         ,  5031.19
00302,Kunde 00302         , 90215.60
00303,Kunde 00303         ,  1392.25
00304,Kunde 00304         ,  1936.81
00305,Kunde 00305         , 12814.53
00306,Kunde 00306         , 56204.07
00307,Kunde 00307         , 82319.92
00308,Kunde 00308         , 84685.29
00309,Kunde 00309         ,  2398.15
00310,Kunde 00310         ,  2733.80
00311,Kunde 00311         , 85362.15
00312,Kunde 00312         , 65041.48
00313,Kunde 00313         , 97266.22
00314,Kunde 00314         , 93586.08
00315,Kunde 00315         , 87803.02
00316,Kunde 00316         , 77193.94
00317,Kunde 00317         , 94277.10
00318,Kunde 00318         , 57062.88
00319,Kunde 00319         , 44218.87
00320,Kunde 00320         , 49524.19
00321,Kunde 00321         , 47963.53
00322,Kunde 00322         , 55949.54
00323,Kunde 00323         , 85755.01
00324,Kunde 00324         , 13003.30
00325,Kunde 00325         , 21430.70
00326,Kunde 00326         , 26367.28
00327,Kunde 00327         , 50413.18
00328,Kunde 00328         ,  3166.24
00329,Kunde 00329         , 42472.08
00330,Kunde 00330         , 19101.31
00331,Kunde 00331         , 61018.47
00332,Kunde 00332         , 72041.55
00333,Kunde 00333         , 54435.64
00334,Kunde 00334         , 95512.04
00335,Kunde 00335         , 47595.44
00336,Kunde 00336         , 80729.71
00337,Kunde 00337         , 59853.66
00338,Kunde 00338         , 78674.39
00339,Kunde 00339         , 93026.72
00340,Kunde 00340         ,  5660.32
00341,Kunde 00341         ,  2345.54
00342,Kunde 00342         , 98487.00
00343,Kunde 00343         , 81788.40
00344,Kunde 00344         , 10111.11
00345,Kunde 00345         , 75347.15
00346,Kunde 00346         , 51263.51
00347,Kunde 00347         , 50082.22
00348,Kunde 00348         , 54734.76
00349,Kunde 00349         , 10127.39
00350,Kunde 00350         , 23452.46
00351,Kunde 00351         , 98983.06
00352,Kunde 00352         , 96237.14
00353,Kunde 00353         ,  4363.21
00354,Kunde 00354         , 26726.21
00355,Kunde 00355         , 60234.58
00356,Kunde 00356         , 83550.18
00357,Kunde 00357         , 14341.31
00358,Kunde 00358         , 84189.03
00359,Kunde 00359         , 65812.59
00360,Kunde 00360         , 63345.35
00361,Kunde 00361         , 76679.42
00362,Kunde 00362         , 22019.18
00363,Kunde 00363         , 86887.49
00364,Kunde 00364         , 44054.35
00365,Kunde 00365         , 68184.37
00366,Kunde 00366         , 36029.20
00367,Kunde 00367         , 98468.51
00368,Kunde 00368         , 60125.48
00369,Kunde 00369         , 50364.93
00370,Kunde 00370         , 25470.41
00371,Kunde 00371         , 87404.92
00372,Kunde 00372         , 69700.16
00373,Kunde 00373         , 85773.93
00374,Kunde 00374         , 50071.22
00375,Kunde 00375         , 97889.26
00376,Kunde 00376         , 76586.00
00377,Kunde 00377         ,  2700.85
00378,Kunde 00378         , 95586.32
00379,Kunde 00379         , 80994.91
00380,Kunde 00380         , 75620.68
00381,Kunde 00381         , 73178.40
00382,Kunde 00382         , 58184.63
00383,Kunde 00383         , 68489.46
00384,Kunde 00384         , 71503.25
00385,Kunde 00385         , 55828.02
00386,Kunde 00386         , 28049.05
00387,Kunde 00387         , 16436.51
00388,Kunde 00388         , 91439.14
00389,Kunde 00389         , 89630.74
00390,Kunde 00390         , 36057.30
00391,Kunde 00391         , 97545.81
00392,Kunde 00392         , 49035.58
00393,Kunde 00393         , 51056.61
00394,Kunde 00394         , 72658.01
00395,Kunde 00395         , 18333.06
00396,Kunde 00396         , 78679.07
00397,Kunde 00397         , 28750.17
00398,Kunde 00398         , 66755.55
00399,Kunde 00399         ,  2638.27
00400,Kunde 00400         ,    10.79
00401,Kunde 00401         , 86221.90
00402,Kunde 00402         , 91774.68
00403,Kunde 00403         , 31209.10
00404,Kunde 00404         ,  8255.06
00405,Kunde 00405         , 17634.83
00406,Kunde 00406         , 40229.84
00407,Kunde 00407         , 96311.45
00408,Kunde 00408         , 57769.52
00409,Kunde 00409         , 24545.49
00410,Kunde 00410         , 17867.36
00411,Kunde 00411         , 66933.12
00412,Kunde 00412         ,  5718.42
00413,Kunde 00413         , 88025.52
00414,Kunde 00414         , 14849.65
00415,Kunde 00415         , 86772.51
00416,Kunde 00416         , 60693.30
00417,Kunde 00417         , 96216.01
00418,Kunde 00418         ,  3648.92
00419,Kunde 00419         , 27313.28
00420,Kunde 00420         , 58612.90
00421,Kunde 00421         , 40315.74
00422,Kunde 00422         ,  5741.09
00423,Kunde 00423         , 53243.54
00424,Kunde 00424         , 34067.54
00425,Kunde 00425         , 86043.15
00426,Kunde 00426         , 37564.69
00427,Kunde 00427         , 75959.90
00428,Kunde 00428         , 46953.36
00429,Kunde 00429         , 43158.65
00430,Kunde 00430         , 70445.55
00431,Kunde 00431         , 68063.53
00432,Kunde 00432         ,  9946.04
00433,Kunde 00433         , 27290.96
00434,Kunde 00434         , 46075.16
00435,Kunde 00435         , 99620.00
00436,Kunde 00436         , 18059.65
00437,Kunde 00437         , 29000.13
00438,Kunde 00438         , 99680.81
00439,Kunde 00439         , 49421.82
00440,Kunde 00440         , 59537.79
00441,Kunde 00441         , 33232.46
00442,Kunde 00442         , 98781.05
00443,Kunde 00443         , 38355.04
00444,Kunde 00444         , 58342.17
00445,Kunde 00445         , 96227.87
00446,Kunde 00446         ,  5984.62
00447,Kunde 00447         , 67125.76
00448,Kunde 00448         , 39101.16
00449,Kunde 00449         , 59202.02
00450,Kunde 00450         , 58839.24
00451,Kunde 00451         , 86794.38
00452,Kunde 00452         ,  1987.65
00453,Kunde 00453         , 80693.72
00454,Kunde 00454         , 22198.67
00455,Kunde 00455         , 21370.35
00456,Kunde 00456         , 96242.01
00457,Kunde 00457         , 90847.97
00458,Kunde 00458         , 26911.05
00459,Kunde 00459         , 75130.87
00460,Kunde 00460         , 23361.07
00461,Kunde 00461         , 63787.10
00462,Kunde 00462         ,  4244.28
00463,Kunde 00463         , 56885.18
00464,Kunde 00464         , 29100.36
00465,Kunde 00465         , 47266.84
00466,Kunde 00466         , 73425.53
00467,Kunde 00467         , 20850.83
00468,Kunde 00468         , 85241.66
00469,Kunde 00469         , 57315.66
00470,Kunde 00470         , 89126.12
00471,Kunde 00471         , 14138.00
00472,Kunde 00472         , 30450.90
00473,Kunde 00473         , 17792.14
00474,Kunde 00474         , 14993.33
00475,Kunde 00475         , 63240.33
00476,Kunde 00476         , 39271.88
00477,Kunde 00477         , 34008.59
00478,Kunde 00478         , 57408.20
00479,Kunde 00479         , 74176.90
00480,Kunde 00480         , 10374.70
00481,Kunde 00481         , 31926.12
00482,Kunde 00482         , 41683.90
00483,Kunde 00483         , 20970.24
00484,Kunde 00484         , 74043.00
00485,Kunde 00485         ,  9883.02
00486,Kunde 00486         ,  2512.62
00487,Kunde 00487         ,  9219.85
00488,Kunde 00488         , 82444.77
00489,Kunde 00489         , 18911.55
00490,Kunde 00490         , 62782.11
00491,Kunde 00491         , 85204.47
00492,Kunde 00492         , 91239.17
00493,Kunde 00493         , 33165.28
00494,Kunde 00494         , 12166.35
00495,Kunde 00495         , 83572.62
00496,Kunde 00496         , 43274.94
00497,Kunde 00497         , 32657.87
00498,Kunde 00498         ,  2134.85
00499,Kunde 00499         , 61609.94
00500,Kunde 00500         , 96259.54
00501,Kunde 00501         , 92331.17
00502,Kunde 00502         , 12776.06
00503,Kunde 00503         , 63355.82
00504,Kunde 00504         , 71909.30
00505,Kunde 00505         , 48708.09
00506,Kunde 00506         , 74502.89
00507,Kunde 00507         , 91324.89
00508,Kunde 00508         , 38965.71
00509,Kunde 00509         ,  6566.00
00510,Kunde 00510         , 39356.18
00511,Kunde 00511         , 36567.75
00512,Kunde 00512         , 99277.61
00513,Kunde 00513         , 36399.98
00514,Kunde 00514         , 53323.45
00515,Kunde 00515         , 99667.57
00516,Kunde 00516         , 22713.76
00517,Kunde 00517         , 63312.15
00518,Kunde 00518         , 56849.43
00519,Kunde 00519         , 43623.56
00520,Kunde 00520         , 49838.75
00521,Kunde 00521         , 51658.60
00522,Kunde 00522         , 20623.89
00523,Kunde 00523         , 93573.59
00524,Kunde 00524         , 66010.47
00525,Kunde 00525         , 74580.44
00526,Kunde 00526         , 15687.45
00527,Kunde 00527         , 45665.86
00528,Kunde 00528         ,   936.13
00529,Kunde 00529         , 97292.18
00530,Kunde 00530         ,  3127.09
00531,Kunde 00531         , 80031.53
00532,Kunde 00532         , 89105.71
00533,Kunde 00533         , 79422.33
00534,Kunde 00534         , 84331.62
00535,Kunde 00535         , 35249.56
00536,Kunde 00536         , 71548.50
00537,Kunde 00537         , 48934.90
00538,Kunde 00538         , 58036.89
00539,Kunde 00539         , 55415.06
00540,Kunde 00540         , 37523.32
00541,Kunde 00541         , 31840.59
00542,Kunde 00542         , 46382.39
00543,Kunde 00543         , 96986.04
00544,Kunde 00544         , 45569.56
00545,Kunde 00545         , 79759.06
00546,Kunde 00546         , 47342.98
00547,Kunde 00547         , 68282.73
00548,Kunde 00548         , 72625.41
00549,Kunde 00549         , 56838.89
00550,Kunde 00550         ,  1651.05
00551,Kunde 00551         , 22226.67
00552,Kunde 00552         , 80320.01
00553,Kunde 00553         ,  8573.36
00554,Kunde 00554         , 33231.76
00555,Kunde 00555         , 41332.40
00556,Kunde 00556         , 68939.96
00557,Kunde 00557         , 77462.73
00558,Kunde 00558         , 39134.19
00559,Kunde 00559         , 29723.85
00560,Kunde 00560         , 58764.25
00561,Kunde 00561         , 87103.15
00562,Kunde 00562         , 22013.22
00563,Kunde 00563         , 10339.27
00564,Kunde 00564         ,  4485.20
00565,Kunde 00565         , 92323.77
00566,Kunde 00566         , 50661.26
00567,Kunde 00567         , 14830.12
00568,Kunde 00568         , 99987.29
00569,Kunde 00569         , 97418.07
00570,Kunde 00570         , 94123.73
00571,Kunde 00571         , 31431.00
00572,Kunde 00572         ,   311.52
00573,Kunde 00573         , 91741.26
00574,Kunde 00574         , 10184.85
00575,Kunde 00575         , 44920.05
00576,Kunde 00576         , 50538.62
00577,Kunde 00577         , 97381.96
00578,Kunde 00578         , 49348.44
00579,Kunde 00579         , 85633.42
00580,Kunde 00580         , 71567.58
00581,Kunde 00581         ,  1726.23
00582,Kunde 00582         , 59952.78
00583,Kunde 00583         , 26289.16
00584,Kunde 00584         , 20496.07
00585,Kunde 00585         ,  6455.33
00586,Kunde 00586         , 30277.15
00587,Kunde 00587         ,  8246.86
00588,Kunde 00588         , 71663.95
00589,Kunde 00589         , 70928.26
00590,Kunde 00590         , 77240.83
00591,Kunde 00591         , 59721.59
00592,Kunde 00592         , 28087.84
00593,Kunde 00593         , 44837.69
00594,Kunde 00594         , 20016.68
00595,Kunde 00595         , 71060.88
00596,Kunde 00596         , 56297.24
00597,Kunde 00597         , 37177.45
00598,Kunde 00598         , 75123.60
00599,Kunde 00599         , 68369.34
00600,Kunde 00600         , 29337.21
00601,Kunde 00601         , 73387.38
00602,Kunde 00602         , 70462.15
00603,Kunde 00603         , 19261.78
00604,Kunde 00604         , 35135.33
00605,Kunde 00605         , 31142.87
00606,Kunde 00606         , 54727.47
00607,Kunde 00607         , 75277.36
00608,Kunde 00608         , 43150.71
00609,Kunde 00609         , 25473.63
00610,Kunde 00610         , 93587.71
00611,Kunde 00611         , 51518.00
00612,Kunde 00612         , 23554.98
00613,Kunde 00613         , 72219.49
00614,Kunde 00614         , 15809.85
00615,Kunde 00615         , 59346.39
00616,Kunde 00616         , 23241.24
00617,Kunde 00617         , 29755.24
00618,Kunde 00618         , 74818.78
00619,Kunde 00619         , 26026.69
00620,Kunde 00620         , 81589.18
00621,Kunde 00621         ,  1381.61
00622,Kunde 00622         , 79707.99
00623,Kunde 00623         , 99253.19
00624,Kunde 00624         , 28097.48
00625,Kunde 00625         , 26306.10
00626,Kunde 00626         , 16293.85
00627,Kunde 00627         , 98466.94
00628,Kunde 00628         , 24672.13
00629,Kunde 00629         , 30189.97
00630,Kunde 00630         , 90917.34
00631,Kunde 00631         , 88851.03
00632,Kunde 00632         , 35856.62
00633,Kunde 00633         , 60947.80
00634,Kunde 00634         , 74701.99
00635,Kunde 00635         , 30267.47
00636,Kunde 00636         ,  5450.82
00637,Kunde 00637         , 69530.71
00638,Kunde 00638         , 49017.32
00639,Kunde 00639         , 79615.13
00640,Kunde 00640         , 27255.25
00641,Kunde 00641         , 22345.60
00642,Kunde 00642         , 48004.32
00643,Kunde 00643         , 77196.47
00644,Kunde 00644         , 76383.54
00645,Kunde 00645         , 78620.83
00646,Kunde 00646         , 25212.63
00647,Kunde 00647         , 40090.45
00648,Kunde 00648         , 14023.61
00649,Kunde 00649         , 71963.08
00650,Kunde 00650         , 55061.61
00651,Kunde 00651         , 60456.37
00652,Kunde 00652         , 73814.99
00653,Kunde 00653         , 34231.44
00654,Kunde 00654         , 16328.57
00655,Kunde 00655         , 46248.90
00656,Kunde 00656         , 61325.52
00657,Kunde 00657         ,  6463.04
00658,Kunde 00658         , 47760.33
00659,Kunde 00659         , 19804.89
00660,Kunde 00660         , 66511.44
00661,Kunde 00661         , 49060.61
00662,Kunde 00662         , 73834.22
00663,Kunde 00663         , 45837.15
00664,Kunde 00664         , 60495.01
00665,Kunde 00665         , 28125.57
00666,Kunde 00666         , 96568.42
00667,Kunde 00667         , 92355.27
00668,Kunde 00668         ,  2356.31
00669,Kunde 00669         , 33333.23
00670,Kunde 00670         , 14914.88
00671,Kunde 00671         , 35148.10
00672,Kunde 00672         , 44706.28
00673,Kunde 00673         , 59016.49
00674,Kunde 00674         , 71179.75
00675,Kunde 00675         , 54154.10
00676,O’Brien & Co        , 74571.66
00677,Kunde 00677         , 30523.64
00678,Kunde 00678         , 60915.68
00679,Kunde 00679         , 86308.20
00680,Kunde 00680         , 34522.33
00681,Kunde 00681         , 58802.57
00682,Kunde 00682         , 61692.81
00683,Kunde 00683         , 17904.04
00684,Kunde 00684         , 78343.17
00685,Kunde 00685         , 93606.32
00686,Kunde 00686         , 88734.59
00687,Kunde 00687         , 12044.02
00688,Kunde 00688         , 71553.18
00689,Kunde 00689         , 75481.39
00690,Kunde 00690         , 31370.61
00691,Kunde 00691         , 47222.46
00692,Kunde 00692         , 42905.23
00693,Kunde 00693         , 69549.56
00694,Kunde 00694         , 11172.23
00695,Kunde 00695         , 80184.86
00696,Kunde 00696         , 44730.05
00697,Kunde 00697         , 39122.52
00698,Kunde 00698         , 99312.15
00699,Kunde 00699         , 35536.55
00700,Kunde 00700         , 95067.34
00701,Kunde 00701         , 96178.94
00702,Kunde 00702         , 65247.15
00703,Kunde 00703         , 65178.45
00704,Kunde 00704         , 67137.99
00705,Kunde 00705         , 48910.59
00706,Kunde 00706         ,  1224.97
00707,Kunde 00707         , 72032.88
00708,Kunde 00708         , 13914.47
00709,Kunde 00709         , 34525.25
00710,Kunde 00710         , 85865.01
00711,Kunde 00711         , 67653.72
00712,Kunde 00712         , 84819.57
00713,Kunde 00713         , 69936.93
00714,Kunde 00714         , 47781.41
00715,Kunde 00715         , 33497.41
00716,Kunde 00716         , 73385.42
00717,Kunde 00717         , 60168.02
00718,Kunde 00718         , 46052.43
00719,Kunde 00719         , 36491.21
00720,Kunde 00720         , 98812.26
00721,Kunde 00721         , 32084.21
00722,Kunde 00722         , 76801.04
00723,Kunde 00723         , 49077.82
00724,Kunde 00724         , 44887.10
00725,Kunde 00725         , 93815.05
00726,Kunde 00726         , 44545.60
00727,Kunde 00727         , 84185.33
00728,Kunde 00728         ,  1654.24
00729,Kunde 00729         , 78178.20
00730,Kunde 00730         , 54518.48
00731,Kunde 00731         , 15048.71
00732,Kunde 00732         , 76454.83
00733,Kunde 00733         ,  3319.58
00734,Kunde 00734         , 25249.73
00735,Kunde 00735         , 85860.47
00736,Kunde 00736         , 50047.31
00737,Kunde 00737         ,  4314.58
00738,Kunde 00738         , 99782.66
00739,Kunde 00739         , 52266.71
00740,Kunde 00740         , 41224.84
00741,Kunde 00741         ,  2005.14
00742,Kunde 00742         , 13239.00
00743,Kunde 00743         , 96775.69
00744,Kunde 00744         , 67799.67
00745,Kunde 00745         , 97017.32
00746,Kunde 00746         , 41676.91
00747,Kunde 00747         , 20730.30
00748,Kunde 00748         , 14940.32
00749,Kunde 00749         , 53508.39
00750,Kunde 00750         , 73349.48
00751,Kunde 00751         , 31274.76
00752,Kunde 00752         , 43100.33
00753,Kunde 00753         , 82672.15
00754,Kunde 00754         , 40523.49
00755,Kunde 00755         , 78685.63
00756,Kunde 00756         , 38463.79
00757,Kunde 00757         , 56807.13
00758,Kunde 00758         , 22104.35
00759,Kunde 00759         , 80803.71
00760,Kunde 00760         , 73692.42
00761,Kunde 00761         , 48658.89
00762,Kunde 00762         , 29998.46
00763,Kunde 00763         , 86943.31
00764,Kunde 00764         , 99545.16
00765,Kunde 00765         , 36658.79
00766,Kunde 00766         , 67422.14
00767,Kunde 00767         , 53174.86
00768,Kunde 00768         ,  9191.59
00769,Kunde 00769         , 31763.09
00770,Kunde 00770         , 10966.72
00771,Kunde 00771         , 84063.42
