invoice,amount,customer
942,1042,K0942
943,1043,K0943
944,1044,K0944
945,1045,K0945
946,1046,K0946
947,1047,K0947
948,1048,K0948
949,1049,K0949
950,1050,K0950
951,1051,K0951
952,1052,K0952
953,1053,K0953
954,1054,K0954
955,1055,K0955
956,1056,K0956
957,1057,K0957
958,1058,K0958
959,1059,K0959
960,1060,K0960
961,1061,K0961
962,1062,K0962
963,1063,K0963
964,1064,K0964
965,1065,K0965
966,1066,K0966
967,1067,K0967
968,1068,K0968
969,1069,K0969
970,1070,K0970
971,1071,K0971
972,1072,K0972
973,1073,K0973
974,1074,K0974
975,1075,K0975
976,1076,K0976
977,1077,K0977
978,1078,K0978
979,1079,K0979
980,1080,K0980
981,1081,K0981
982,1082,K0982
983,1083,K0983
984,1084,K0984
985,1085,K0985
986,1086,K0986
987,1087,K0987
988,1088,K0988
989,1089,K0989
990,1090,K0990
991,1091,K0991
992,1092,K0992
993,1093,K0993
994,1094,K0994
995,1095,K0995
996,1096,K0996
997,1097,K0997
998,1098,K0998
999,1099,K0999
1000,1100,K1000
